date,link,title,text
2018-12-13,https://www.abf.gov.au/help-and-support-subsite/CustomsNotices/1996-01.pdf,Trademarks Act 1995,"Australian Customs Notice 1996 01

TRADE MARKS ACT 1995

This Customs notice is a guide, for owners and authorised users of trade marks registered in Australia, to the
operation of the Customs seizure provisions of the Trade Marks Act 1995 which came into effect on 1 January
1996. The Trade Marks Act 1955 was repealed on that date.

The new legislation contains changes which have been made to reflect international trends towards greater
uniformity in the field of trade mark law. In particular, the Act conforms with the standards and principles
prescribed for trade marks in the Agreement Establishing the World Trade Organization.

The new Act has also simplified the language as much as possible to make it easier for readers to understand the
law: a number of terms used in the old legislation have been replaced by simpler ones, eg ""owner"" has been used
in place of ""proprietor"" of a trade mark. However, no difference in meaning is intended where simpler terms have
been used.

This notice gives a brief outline of the requirements for seeking action by the Australian Customs Service
(Customs) under section 132 of the Trade Marks Act 1995, and highlights some of the changes made to the
existing conditions and provisions. Because of the complex nature of section 132 and the obligations it places on
the Objector, it is recommended that persons considering the lodgement of a Notice of Objection discuss the
matter with their legal advisers before proceeding with the Notice.

1. Outline

Section 132 of the Trade Marks Act 1995 establishes a legislative scheme whereby the registered owner, or in
certain circumstances an authorised user, of a trade mark, may object to the importation of goods bearing a trade
mark substantially identical with or deceptively similar to that trade mark. Section 133 empowers Customs to
seize such goods pending resolution of an action brought by the Objector as to whether the importation of the
goods infringes a notified trade mark.

2. The Legislative Scheme - Seizure Provisions

Section 133 provides that where:

(a) goods manufactured outside Australia have been imported into Australia and are subject to the control of
Customs;

(b) a Notice in writing objecting to the importation of goods infringing a trade mark registered in respect of the
goods imported has been given to Customs;

(c) the goods imported are goods in respect of which the notified trade mark is registered in Australia; and

(d) the goods, in the opinion of Customs, have applied to them a trade mark that is substantially identical with, or
deceptively similar to the notified trade mark; THEN

CUSTOMS IS REQUIRED TO SEIZE IMPORTED GOODS INFRINGING A NOTIFIED TRADE MARK UNLESS:

(e) the Comptroller is satisfied that there are no reasonable grounds for believing that the importation of the
goods constitutes an infringement of the notified trade mark; or

(f) the Comptroller is of the view that the Objector has not provided sufficient security to reimburse the
Commonwealth in respect of expenses that may be incurred by the Commonwealth in relation to the seizure of
the goods.

The legislative scheme does not provide for seizure of goods which are imported for the personal use of
the importer and are not intended to be dealt with or provided in the course of trade.

The scheme does not empower Customs to take ex officio seizure action (ie action on its own behalf).

It is important to note that the seizure powers are drawn directly from the Trade Marks Act 1995 S133 (2). The
authority to seize is separate from and should not be confused with the more general seizure provisions (relating
to Customs search and seizure) contained in the Customs, Excise and Bounty Legislation Amendment Act 1995.

"
2018-12-13,https://www.abf.gov.au/help-and-support-subsite/CustomsNotices/1996-02.pdf,Amendments to the Customs (Prohibited Imports) regulations - woolpacks and woolpack caps,"Australian Customs Notice 1996 02

AMENDMENTS TO THE CUSTOMS (PROHIBITED IMPORTS)

REGULATIONS - WOOLPACKS &amp; WOOLPACK CAPS

The Customs (Prohibited Imports) Regulations have been amended to reflect the transfer of responsibility for the
management of woolpack quality assurance issues to the Australian Wool Exchange Ltd (AWEX). Statutory Rule
No 412 of 1995 which was gazetted in Gazette No S488 of 19 December 1995 amends the Regulations with
effect from 1 January 1996.

Regulation 4K of the Regulations prohibits the importation into Australia of woolpacks and woolpack caps unless
the permission in writing to import the goods has been granted by the Minister for Primary Industries and Energy
or an authorised person (subregulation 4K(1)) or unless a certificate in respect of those goods issued under
subregulations 4K(3) to 4K(7) is produced. Certificates under subregulations 4K(3) and 4K(7) refer to certain
standards published by the Australian Wool Corporation or the Australian Wool Research and Promotion
Organisation.

The amendments to the Regulations reflect the transfer of responsibility for the standards published by the
Australian Wool Corporation or the Australian Wool Research and Promotion Organisation to AWEX. They also
provide for importations of woolpacks or woolpack caps where a certificate has been issued which refers to a
standard of AWEX. A transitional provision has also been inserted to allow the importation of such goods until 31
March 1996 where the goods conform to a previous standard published by the Australian Wool Research and
Promotion Organisation. It is considered that this will provide a suitable time to allow importers to have new
certificates issued in respect of the relevant woolpacks.

Enquiries regarding these changes can be directed to the Commerce Prohibitions and Restrictions (Policy)
Group, CANBERRA, on (06) 275 6571

for (L B WOODWARD)
CHIEF EXECUTIVE OFFICER
CANBERRA

2 January 1996

(Cargo Facilitation: C95/02449)

 
 
"
2018-12-13,https://www.abf.gov.au/help-and-support-subsite/CustomsNotices/1996-03.pdf,Customs Tariff Act 1995,"Australian Customs Notice 1996 03

CUSTOMS TARIFF ACT 1995

Further to ACN 95/48, the Customs Tariff Bill 1995 was tabled in the House of Representatives on 28 September
1995 and was passed by that House on 19 October 1995 and later by the Senate on 27 November 1995. The Bill
received Royal Assent on 16 December 1995. The Customs Tariff Act 1995 (Act 147 of 1995) will come into force
from 1 July 1996. The current Customs Tariff is repealed from that date.

The main purpose of the Customs Tariff Act 1995 is to put in place a new Customs Tariff (CT96) and to
incorporate approximately three hundred and fifty changes proposed by the World Customs Organization (WCO)
(formerly the Customs Co-operation Council) to the International Convention on the Harmonized Commodity
Description and Coding System (HCDCS). The HCDCS is the international tariff standard to which Australia has
been a signatory since 1987. Each four years the WCO agrees to changes to the HCDCS which reflect changing
patterns in international trade. The aim of the current round of changes is to regroup like products in the same
subheadings, to correct anomalies which have become apparent in the Harmonized System and to reflect
technological developments.

In incorporating these changes into the Tariff, the Government decided to maintain the rates of duty which had
already been legislated to come into force on 1 July 1996. To achieve this, some two hundred national tariff splits
have been created in addition to the changes recommended by the WCO. Extensive negotiations between
industry representatives and officers of the Department of Industry, Science and Technology (DIST) and the
Australian Customs Service (ACS) have been undertaken to resolve contentious matters raised by the World
Customs Organisation (WCO) changes in an attempt to maintain current rates of duty. In only five cases has it not
been possible to maintain the rate of duty. Generally this was because the goods which are moving between tariff
subheadings cannot be identified to enable new tariff splits to be made. The five commodities are:-

Foodstuffs containing cocoa of headings 1901 and 1904 will now be assessed on a totally defatted basis
rather than on a basis of cocoa powder as at present. As a consequence of this change, certain foodstuffs
containing cocoa of 1901 and 1904 will transfer to subheading 1806.90.00. The Government has decided to
retain that subheading and its rate of duty for the food preparations containing cocoa transferring from Chapter
19;
Tyre cord fabrics of woven glass fibres (7019.20.10 - DCS:4%) and other woven fibres of glass (7019.20.90 -
DCS:5%) will be combined in 7019.5. The Government has agreed to impose a DCS rate of 5%;

Graded pearls (7116) are sold, according to accepted international practice, as temporarily strung for transport
purposes and are dutiable at 5%. Heading 7101 (Free) has been reworded to delete the word ""ungraded"" from
the description of the goods. The effect of this change will be for pearls ""temporarily strung for transport"" to
transfer from 7116 to 7101. The Government has decided to retain the Free rate of duty for pearls classified in
7101 under the new tariff regime;
Input or output devices for computers, for example printers, keyboards, X-Y co-ordinate input devices, which
satisfy the conditions set out in the revised Notes 5(B) and 5(D) to Chapter 84 will be classified in subheading
8471.60.00 and be free of duty. The WCO advise that certain unidentified goods will transfer from subheading
8424.89.90 (Gen:5%) to the new classification. The rate of duty for 8471.60.00 (Free) reflects the rate
applicable to 98% of the current total trade of the subject goods; and
All waste and scrap of batteries will be classified under 8548.10.10 and will be free of duty. Currently these
goods are classified under a number of subheadings according to their constituent material.

In addition, snowboard boots will be included in the definition of sports footwear in Chapter 64 and specified in
subheadings of that Chapter. The ACS, in consultation with the Textiles, Clothing and Footwear Development
Authority, DIST and industry representatives, has defined snowboard boots in a new Tariff Precedent
11751000. These changes should not affect the classification or duty rates of any footwear.

Following the implementation of CT96, administrative arrangements will be put in place within DIST/ACS whereby
aggrieved parties may raise their concerns if anomalous situations have arisen in the context of the Government's
decision to preserve the duty arrangements. The appeals period will extend until one year after the
commencement of the new Act - to 30 June 1997. In the first instance, submissions for the review of the new
structure and the rates of duty should be sent to the Director, Tariff Classification, Australian Customs Service,
Customs House, 5 Constitution Avenue, Canberra ACT 2601. DIST will be consulted on policy aspects.

The Customs Tariff Act 1995 will become available from Australian Government Bookshops early in 1996. Its cost
is expected to be about $45.00. Parliamentary documentation associated with the tabling of the Bill, namely the

 
 
 
 
"
2018-12-10,https://www.abf.gov.au/help-and-support-subsite/CustomsNotices/1996-04.pdf,Origin of goods packaged within the preference claim area,"Australian Customs Notice 1996 04

ORIGIN OF GOODS PACKAGED WITHIN THE PREFERENCE

CLAIM AREA

Under Division 1A of Part VIII of the Customs Act 1901, the origin of goods claimed to be the manufacture of a
country, depends upon the country in the qualifying area where the last process of manufacture occurred and
whether the allowable factory cost is not less than the specified percentage.

For goods claimed to be the manufacture of a preference country such as New Zealand, Papua New Guinea or a
Forum Island Country, the required area percentage ( except in certain specific circumstances) is not less

than 50%.

Unless there has been a process of manufacture performed on the preference claim goods within the qualifying
area, assessment of the area percentage is not considered for preferential rules of origin.

In considering the last process of manufacture criterion, certain minimal processes are regarded as not meeting
this criterion. One such process is the packaging of goods for export to Australia.

The packaging of different goods into a boxed set is regarded as a minimal process which by itself does not
satisfy the ""last process of manufacture"" criterion. Where goods from outside the qualifying area are packaged
together with goods from within the qualifying area, the goods from outside the qualifying area cannot take the
origin of the country where the packaging takes place.

For example, where Italian goods are boxed or packaged in New Zealand

with New Zealand goods, the boxed set cannot take the origin of New Zealand. The Italian goods still retain the
origin of Italy and the New Zealand goods retain the origin of New Zealand.

Preferential rates of Customs duty cannot be claimed on the complete boxed set as the origin of New Zealand.

In such circumstances, each individual good should be identified separately on Customs documentation and the
general rate of duty is applicable for those goods from outside the qualifying area.

Further details on packaging and minimal processes can be obtained by contacting Wayne Kathage (06) 275
6512.

(L.B.WOODWARD)
CHIEF EXECUTIVE OFFICER
CANBERRA ACT 2601

p&gt;24 January 1996

(Origin File: C96/20052)

 
 
"
2018-12-10,https://www.abf.gov.au/help-and-support-subsite/CustomsNotices/1996-05-2.pdf,Customs Act 1901 - Part XVB Review of Anti-Dumping Measures on canned tomatoes from Italy And Spain,"Australian Customs Notice 1996 05 2

CUSTOMS ACT 1901 - PART XVB REVIEW OF ANTI-DUMPING

MEASURES ON CANNED TOMATOES FROM ITALY &amp;

SPAIN

In ACDN 95/42 of 19 October 1995, the Australian Customs Service notified the commencement of a review of
countervailing duties applicable to exports of canned tomatoes from Italy and Spain.

During the course of this review, Customs identified the need to update measures to take account of recent duty
changes. Customs has also contemplated whether it would be possible to maintain the levels of assistance while
simplifying the layout of the current published instructions used by both importers and Customs. Some
possibilities in this regard include:

A simplified structure for both the countervailing and anti-dumping measures on canned tomatoes from Italy and
Spain, for example

reducing the number of can sizes to three (i.e. less than 500 grams/ from 500 to less than 1000grams/1000
grams and over);
adopting a uniform method of calculating duty based on a monetary rate per kilogram net weight; and,
removing the rate for 3 kilogram cans applying to all ""other"" sizes, including less than 400 grams.

Adjusting the Non Injurious Free On Board prices to take account of duty rate changes which have occurred since
the measures were originally imposed in 1992

the general rates of duty on imports of canned tomatoes have declined from 15% to 8% but these rates are
not reflected in the existing measures.

Any interested parties in this matter wishing to provide comments on the simplification of the administrative
arrangements for canned tomatoes should advise Customs of their views by
17 January 1996. Any submissions should be forwarded to Lawrie Nock, Dumping Operations Branch, Customs
House in Canberra. Alternatively, he may be contacted on telephone
(06 ) 275 6393 or by facsimile on (06) 275 6990.

(L. B. WOODWARD)

Chief Executive Officer

Canberra ACT 2601

2 January 1996

 
 
"
2018-12-10,https://www.abf.gov.au/help-and-support-subsite/CustomsNotices/1996-05-29.pdf,Indexation of certain excise and customs tariff rates and the diesel fuel rebate,"Australian Customs Notice 1996 05 29

INDEXATION OF CERTAIN EXCISE AND CUSTOMS TARIFF RATES AND THE DIESEL FUEL REBATE

In accordance with the indexation provisions of the Excise Tariff Act 1921 and the Customs Tariff Act 1987, the rates of Excise and Customs duties on spirits, beer, tobacco and
petroleum products will change on and from 1 February 1996. Tables 1 and 2 of the Attachment provide the new rates.

For this indexation, the provisions require that the December index number published by the Australian Statistician is to be divided by the previous highest December or June index
number to determine the factor used to index the rates of duty. Accordingly, the December 1995 index number (118.5) has been divided by the June Quarter 1995 (116.2) to establish the
indexation factor of 1.020.

Changes have also been made to the diesel fuel rebate rates declared in accordance with sub-section 78A(5A) of the Excise Act 1901 and sub-section 164(5A) of the Customs Act
1901. The new rates of diesel fuel rebate are declared on and from 1 February 1996 and are listed in Tables 3 and 4 in the Attachment.

Applicants for diesel fuel rebate are advised that the change to the declared rates will not affect the rate of rebate payable during February 1996.

Sub-sections 164(5AA) of the Customs Act and 78A(5AA) of the Excise Act determine the rate payable in respect of eligible diesel fuel. This rate is the average of the rates of rebate,
declared by the Minister, which were in force on the last day of each of the 6 months immediately before the month in which the application for rebate was received by a Regional
Director of Customs.

This average rate can change from month to month and the rate applicable to a particular claim is shown on the payment advice forwarded to applicants.

Any inquiries concerning these changes should be directed to :

- for Excise Tariff Rates

Assistant Director Legal &amp; Projects

Inland Revenue

Australian Customs Service

Canberra ACT 2600

Ph. (06) 275 5833

- for Customs Tariff Rates

Senior Inspector

Tariff Legislation

Australian Customs Service

Canberra ACT 2600

Ph. (06) 275 6516

"
2018-12-10,https://www.abf.gov.au/help-and-support-subsite/CustomsNotices/1996-06.pdf,Sea cargo automation: electronic transhipment releases for transhipment cargo,"Australian Customs Notice 1996 06

SEA CARGO AUTOMATION: ELECTRONIC TRANSHIPMENT

RELEASES FOR TRANSHIPMENT CARGO

The Australian Customs Service has agreed to implement interim electronic automated procedures for the
screening and underbond movement of transhipment cargo reported on the Sea Cargo Automation (SCA)
system.

Under the interim proposal commencing 30 March 1996, the SCA system will generate and release electronically
reported transhipment cargo at a discharge port via a new information message code 299. The underbond
movement of transhipment cargo to another port (for export purposes) will be possible within the current
electronic procedures applying to sea cargo movements.

It should be noted that the interim proposals ONLY apply to transhipment sea cargo reported and processed
electronically. Paper transhipment entries will not be required if electronic SCA records are available.

Exemption from Export Entry:

To gain export entry exemption when transhipment cargo is reported on an export manifest, it will be necessary
for carriers to clearly demonstrate to Customs that the cargo was originally reported on the SCA system and
granted a release via SCA information message code 299.

Non-electronic export manifests providers must attach a hard copy (printout) of the SCA information message
code 299 (obtained from the users system) as evidence of transhipment status to paper manifests submitted to
the Customs.

Participants supplying electronic export manifests are not required to supply a hard copy of the message code
299 to the Customs export clearing clerk. A copy of SCA code 299 must be retained for audit purposes.

Regardless of whether a paper or electronic outwards manifest is reported to Customs, the ""EX3"" exemption
code should be quoted as the authority to deal with transhipment cargo in respect to EXIT formalities.

Reconciliation of transhipment approvals to ensure that transhipment cargo has been exported, will be subject to
Customs compliance and audit arrangements.

Transhipment sea cargo that is not reported electronically will not be covered by these interim arrangements.
Such transhipments will be subject to normal Customs arrangements including the completion of a paper
transhipment entry.

Full automation of transhipment and export requirements is being considered in conjunction with the current
evaluation of export procedures and the EXIT system.

Further information relating to these arrangements can be obtained from Anthony Cole on (06) 275-6616 or
facsimile (06) 275-5828.

(R. J. Mitchell)

National Manager

Cargo Facilitation

CANBERRA ACT

28 February 1996

"
2018-12-10,https://www.abf.gov.au/help-and-support-subsite/CustomsNotices/1996-07.pdf,Section 135 of the Copyright Act 1968,"Australian Customs Notice 1996 07

SECTION 135 OF THE COPYRIGHT ACT 1968

The operation of the Customs seizure provisions of the Copyright Act 1968 (""Copyright Act"") was outlined in
Australian Customs Notice 95/31 of 15 June 1995.

The following organisation, having declared itself to be the owner of the copyright material identified below, has
given Notice under section 135 of the Copyright Act 1968. By this action, the organisation has notified its
objection to the importation of goods which allegedly infringe its copyright.

Unless revoked, this Notice shall remain in force until the end of the period of two years commencing on 22
December 1995.

Objector Contact

Sydney Organising Committee Sponsor Protection Manager of the Olympic Games (""SOCOG"") Sydney (02) 9931
2000

Material

The SOCOG ""flash"" logo, described as ""brush stroke zig-zag forms Opera House grotesque"".

Copies of the Notice have been forwarded to Managers, Trade Facilitation, Australian Customs Service in the
capital city of each state and the Northern Territory. Further information about the control regime may be obtained
from those Officers.

SOCOG has provided Customs with the details of importers who have been authorised to bring in a wide range of
products bearing copyright material covered by the Notice. Persons requiring further details in this regard should
contact the SOCOG Sponsor Protection Group on the number given above.

Goods identified by Customs at the border as potentially infringing copyright (being imports on which the logo
described above has been used without authorisation) will be seized by Customs. Upon seizure of any goods by
Customs, SOCOG may take court action under the Copyright Act against the person importing those goods.

for (L B WOODWARD)

CHIEF EXECUTIVE OFFICER

March 1996

(Cargo Facilitation: C96/02298)

"
2018-12-10,https://www.abf.gov.au/help-and-support-subsite/CustomsNotices/1996-09.pdf,Preparation of submanifests for export cargo consolidations postponement of commencement date,"Australian Customs Notice 1996 09

PREPARATION OF SUBMANIFESTS FOR EXPORT CARGO

CONSOLIDATIONS POSTPONEMENT OF COMMENCEMENT

DATE

Australian Customs Notice (ACN) 95/64 dated 9 November 1995 advised industry that Section 117A of the
Customs Act had been amended to make it a mandatory requirement that persons involved in the consolidation
of cargo for exportation by ship or aircraft prepare and communicate a submanifest in respect of those goods to
Customs.

The amendment became effective on 1 July 1995, however, a period of grace was provided to give affected
parties a reasonable time to adjust. It was announced in ACN 95/64 that the new submanifest requirements
would be implemented on 1 March 1996.

The ACN advised freight forwarders, slot charterers and consolidators that they would satisfy the new reporting
requirements for export cargo consolidations by either lodging a manual submanifest with Clearing areas or via
electronic means (ie. the EXport InTegration (EXIT) system). Cut-off times were also nominated for acceptance of
manifests for processing by Customs.

Over the past two months, the Australian Customs Service (ACS) has received a number of representations on
this matter from the freight forwarding and courier industries in particular. Essentially, industry has highlighted its
desire to comply with the new requirements through electronic reporting via the EXIT system. Some industry
members have expressed concern at their ability to effectively comply via a manual system due to transport
industry and other export requirements.

The ACS has also been advised that a number of EXIT software suppliers have been unable to develop, test and
provide software to enable industry users to respond to this initiative by 1 March 1996. Therefore, in
acknowledging industry's concerns and to further assist compliance with the new reporting requirements, it has
been decided to postpone implementation until 1 May 1996. This decision has been taken on the basis that there
will be a substantial uptake of the EXIT system by 1 May 1996 by industry members to enable electronic
reporting.

It should be noted that this initiative is essentially aimed at consolidators who deal with carriers and principal
agents. Therefore, for the purposes of the legislation, a person, other than a carrier, with 2 or more
consignments, who prepares a Master Air Waybill or Courier Baggage Voucher or holds an Ocean Bill of
Lading, must prepare and communicate to Customs a submanifest for those goods. To facilitate early
reporting any other consolidator of export cargo may also prepare and communicate a submanifest to Customs
for their own export consolidations.

The ACS is pleased to note that a large number of companies involved in export cargo consolidation
throughout Australia are in the process of adjusting their procedures in anticipation of a 1 March
commencement. Those companies are encouraged to commence reporting export cargo consolidations
in accordance with the new arrangements as soon as they are in a position to do so.

If any assistance is required, please contact the Exports section in your region or Assistant Director EXIT
Canberra on the phone numbers listed below.

FURTHER INFORMATION

The ACS wishes to offer every assistance to companies that may be affected by these new procedures. Enquiries
should be referred to regional Exports sections on the following numbers:

NSW 02 2132430 WA 09 4301317

VIC 03 92448483 NT 089 469851

SA 08 479310 TAS 002 301231

QLD 07 38353320

"
2018-12-10,https://www.abf.gov.au/help-and-support-subsite/CustomsNotices/1996-10.pdf,Cargo management strategy,"Australian Customs Notice 1996 10

CARGO MANAGEMENT STRATEGY

Customs has established a project team to develop a Cargo Management Strategy. The Strategy is to have a
focus on the next five years and will be developed in consultation with industry, commercial interests and relevant
Government agencies. An Industry Consultative Group will be convened by Customs to provide advice to the
Project Team. Attached are the Terms of Reference for the Project Team.

The Project Team would like to consult with, and receive submissions from, a cross-section of industry and
commercial interests, on any of the key issues covered by the Terms of Reference or the following related
matters:

Future practices, procedures and information requirements in relation to import and export cargo. For example,
without limiting the scope of this issue, submissions may include suggestions relating to the report, movement,
carriage, storage, entry, payment and clearance of goods;

Suggestions or proposals for streamlining and simplifying the flow of information relating to import and export
cargo, to better facilitate the physical movement of the cargo and minimise the Customs impact on international
trade;

Electronic commerce practices (""the process of doing business electronically"") to complement future import and
export cargo management needs;

Policy and legislative impediments to the effective management of imports and exports.

Submissions are encouraged from any interested parties including importers, exporters, customs brokers,
shipping/airline companies, freight forwarders, air express companies, cargo consolidators, depot and warehouse
proprietors, cargo terminal operators, financial institutions, communications providers and software houses, and
any related industry associations.

The Project Team will also consult widely on the key issues with Customs staff, unions and relevant Government
agencies.

All submissions and information received will be treated in confidence.

Persons or organisations wishing to provide submissions or obtain further information should do so by contacting
the Project Team as follows:

David Collins

Project Leader
Cargo Management Strategy
Australian Customs Service
First Floor Allara House
5 Constitution Avenue
CANBERRA ACT 2601

Telephone: (06) 275 6132

Facsimile: (06) 275 5886

E-mail (X-400): c=au;a=attmail;p=ausgovcustoms;o=email;g=david;s=collins
E-mail (Internet): /o=email/g=david/s=collins@mhs-acsau.attmail.com

Malcolm Graham Luke Naismith
Cargo Management Strategy Cargo Management Strategy
Australian Customs Service Australian Customs Service
Level 3 Tower Building 11th Floor, Customs House
477 Pitt Street 414 Latrobe Street
SYDNEY NSW 2000 MELBOURNE VIC 3000

 
 
 
 
 
 
 
 
 
 
 
"
