,topic,links
0,実行関税率表（2021年10月22日版）,https://www.customs.go.jp/tariff/2021_10_22/index.htm
1,実行関税率表（2021年9月19日版）,https://www.customs.go.jp/tariff/2021_09_19/index.htm
2,実行関税率表（2021年4月1日版）,https://www.customs.go.jp/tariff/2021_4/index.htm
3,実行関税率表（2021年1月1日版）,https://www.customs.go.jp/tariff/2021_1/index.htm
4,実行関税率表（2020年10月1日版）,https://www.customs.go.jp/tariff/2020_10/index.htm
5,実行関税率表（2020年6月27日版）,https://www.customs.go.jp/tariff/2020_6/index.htm
6,実行関税率表（2020年4月1日版）,https://www.customs.go.jp/tariff/2020_4/index.htm
7,実行関税率表（2020年1月1日版）,https://www.customs.go.jp/tariff/2020_1/index.htm
8,実行関税率表（2019年4月1日版）,https://www.customs.go.jp/tariff/2019_4/index.htm
9,実行関税率表（2019年2月1日版）,https://www.customs.go.jp/tariff/2019_2/index.htm
10,実行関税率表（2019年1月14日版）,https://www.customs.go.jp/tariff/2019_1/index.htm
11,実行関税率表（2018年12月30日版）,https://www.customs.go.jp/tariff/2018_12/index.htm
12,実行関税率表（2018年4月1日版）,https://www.customs.go.jp/tariff/2018_4/index.htm
13,実行関税率表（2018年1月1日版）,https://www.customs.go.jp/tariff/2018_1/index.htm
14,実行関税率表（2017年5月16日版）,https://www.customs.go.jp/tariff/2017_5/index.htm
15,実行関税率表（2017年4月1日版）,https://www.customs.go.jp/tariff/2017_4/index.htm
16,実行関税率表（2017年1月1日版）,https://www.customs.go.jp/tariff/2017_1/index.htm
17,実行関税率表（2016年6月7日版）,https://www.customs.go.jp/tariff/2016_6/index.htm
18,実行関税率表（2016年4月版）,https://www.customs.go.jp/tariff/2016_4/index.htm
19,実行関税率表（2016年1月版）,https://www.customs.go.jp/tariff/2016_1/index.htm
20,実行関税率表（2015年4月版）,https://www.customs.go.jp/tariff/2015_4/index.htm
21,実行関税率表（2015年1月15日版）,https://www.customs.go.jp/tariff/2015_115/index.htm
22,実行関税率表（2015年1月版）,https://www.customs.go.jp/tariff/2015_1/index.htm
23,実行関税率表（2014年4月版）,https://www.customs.go.jp/tariff/2014_4/index.htm
24,実行関税率表（2014年1月版）,https://www.customs.go.jp/tariff/2014_1/index.htm
25,実行関税率表（2013年4月版）,https://www.customs.go.jp/tariff/2013_4/index.htm
26,実行関税率表（2013年1月版）,https://www.customs.go.jp/tariff/2013_1/index.htm
27,実行関税率表（2012年4月版）,https://www.customs.go.jp/tariff/2012_4/index.htm
28,実行関税率表（2012年3月版）,https://www.customs.go.jp/tariff/2012_3/index.htm
29,実行関税率表（2012年1月版）,https://www.customs.go.jp/tariff/2012_1/index.htm
30,実行関税率表（2011年8月版）,https://www.customs.go.jp/tariff/2011_8/index.htm
31,実行関税率表（2011年4月版）,https://www.customs.go.jp/tariff/2011_4/index.htm
32,実行関税率表（2011年1月版）,https://www.customs.go.jp/tariff/2011/index.htm
33,実行関税率表（2010年4月版）,https://www.customs.go.jp/tariff/2010_4/index.htm
34,実行関税率表（2010年1月版）,https://www.customs.go.jp/tariff/2010/index.htm
35,実行関税率表（2009年6月版）,https://www.customs.go.jp/tariff/2009_6/index.htm
36,実行関税率表（2009年4月版）,https://www.customs.go.jp/tariff/2009_4/index.htm
37,実行関税率表（2009年1月版）,https://www.customs.go.jp/tariff/2009/index.htm
38,実行関税率表（2008年4月版）,https://www.customs.go.jp/tariff/2008_4/index.htm
39,実行関税率表（2008年1月版）,https://www.customs.go.jp/tariff/2008/index.htm
40,実行関税率表（2007年4月版）,https://www.customs.go.jp/tariff/2007_4/index.htm
41,実行関税率表（2007年1月版）,https://www.customs.go.jp/tariff/2007/index.htm
42,実行関税率表（2006年4月版）,https://www.customs.go.jp/tariff/2006_4/index.htm
43,実行関税率表（2006年1月版）,https://www.customs.go.jp/tariff/2006/index.htm
44,実行関税率表（2005年6月版）,https://www.customs.go.jp/tariff/2005_6/index.htm
45,実行関税率表（2005年4月版）,https://www.customs.go.jp/tariff/2005_4/index.htm
46,実行関税率表（2005年1月版）,https://www.customs.go.jp/tariff/2005/index.htm
47,実行関税率表（2004年4月版）,https://www.customs.go.jp/tariff/2004/index.htm
48,実行関税率表（2003年1月版）,https://www.customs.go.jp/tariff/2003/index.htm
