,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit
,番号H.S. code,Unnamed: 1_level_1,品名Description,基本General,暫定Temporary,WTO協定WTO,特恵GSP,特別特恵LDC,シンガポールSingapore,メキシコMexico,マレーシアMalaysia,チリChile,タイThailand,インドネシアIndonesia,ブルネイBrunei,アセアンASEAN,フィリピンPhilippines,スイスSwitzerland,ベトナムViet Nam,I,II
0,1.01,,馬、ろ馬、ら馬及びヒニー（生きているものに限る。）,,,,,,,,,,,,,,,,,,
1,101.1,,純粋種の繁殖用のもの,,,,,,,,,,,,,,,,,,
2,,,1 馬,,,,,,,,,,,,,,,,,,
3,,110.0,(1)サラブレッド種、サラブレッド系種、アラブ種、アングロアラブ種又はアラブ系種の馬（以下この項において「軽種馬」という。）以外のものである旨が政令で定めるところにより証明されたもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO
4,,,(2)その他のもの,,,,,,,,,,,,,,,,,,
5,,121.0,A 軽種馬（競馬の競走用以外の用途に供するものであり、かつ、妊娠していないものである旨が政令で定めるところにより証明されたものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO
6,,122.0,B その他のもの,"4,000,000円/頭",,"3,400,000円/頭",,無税,,,,,,,,,,,,,NO
7,,200.0,2 ろ馬、ら馬及びヒニー,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO
8,101.9,,その他のもの,,,,,,,,,,,,,,,,,,
9,,,1 馬,,,,,,,,,,,,,,,,,,
10,,110.0,(1)軽種馬以外のものである旨が政令で定めるところにより証明されたもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO
11,,,(2)その他のもの,,,,,,,,,,,,,,,,,,
12,,121.0,A 軽種馬（競馬の競走用以外の用途に供するものであり、かつ、妊娠していないものである旨が政令で定めるところにより証明されたものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO
13,,122.0,B その他のもの,"4,000,000円/頭",,"3,400,000円/頭",,無税,,,,,,,,,,,,,NO
14,,200.0,2 ろ馬、ら馬及びヒニー,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO
15,1.02,,牛（生きているものに限る。）,,,,,,,,,,,,,,,,,,
16,102.1,0.0,純粋種の繁殖用のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO
17,102.9,,その他のもの,,,,,,,,,,,,,,,,,,
18,,10.0,1 水牛,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO
19,,,2 その他のもの,,,,,,,,,,,,,,,,,,
20,,92.0,(1)1頭の重量が300キログラム以下のもの,"45,000円/頭",,"38,250円/頭",,無税,,,,,,,,,,,,,NO
