,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA)
,番号H.S. code,Unnamed: 1_level_1,品名Description,基本General,暫定Temporary,WTO協定WTO,特恵GSP,特別特恵LDC,シンガポールSingapore,メキシコMexico,マレーシアMalaysia,チリChile,タイThailand,インドネシアIndonesia,ブルネイBrunei,アセアンASEAN,フィリピンPhilippines,スイスSwitzerland,ベトナムViet Nam,インドIndia,ペルーPeru,I,II,ペルーＰｅｒｕ,インドＩｎｄｉａ
0,1.01,,馬、ろ馬、ら馬及びヒニー（生きているものに限る。）,,,,,,,,,,,,,,,,,,,,,,
1,,,馬,,,,,,,,,,,,,,,,,,,,,,
2,101.21,,純粋種の繁殖用のもの,,,,,,,,,,,,,,,,,,,,,,
3,,100.0,1 サラブレッド種、サラブレッド系種、アラブ種、アングロアラブ種又はアラブ系種の馬（以下この項において「軽種馬」という。）以外のものである旨が関税定率法施行令（以下この類において「政令」という。）で定めるところにより証明されたもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,,
4,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
5,,210.0,(1)軽種馬（競馬の競走用以外の用途に供するものであり、かつ、妊娠していないものである旨が政令で定めるところにより証明されたものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,,
6,,290.0,(2)その他のもの,"4,000,000円/頭",,"3,400,000円/頭",,無税,,,,,,,,,,,,,,,NO,,
7,101.29,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
8,,100.0,1 軽種馬以外のものである旨が政令で定めるところにより証明されたもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,,
9,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
10,,210.0,(1)軽種馬（競馬の競走用以外の用途に供するものであり、かつ、妊娠していないものである旨が政令で定めるところにより証明されたものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,,
11,,290.0,(2)その他のもの,"4,000,000円/頭",,"3,400,000円/頭",,無税,,,,,,,,,,,,,,,NO,,
12,101.3,0.0,ろ馬,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,,
13,101.9,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,,
14,1.02,,牛（生きているものに限る。）,,,,,,,,,,,,,,,,,,,,,,
15,,,家畜のもの,,,,,,,,,,,,,,,,,,,,,,
16,102.21,0.0,純粋種の繁殖用のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,,
17,102.29,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
18,,100.0,1 1頭の重量が300キログラム以下のもの,"45,000円/頭",,"38,250円/頭",,無税,,,,,,,,,,,,,,,NO,,
19,,200.0,2 その他のもの,"75,000円/頭",,"63,750円/頭",,無税,,,,,,,,,,,,,,,NO,,
20,,,水牛,,,,,,,,,,,,,,,,,,,,,,
21,102.31,0.0,純粋種の繁殖用のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,,
22,102.39,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,,
23,102.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
24,,100.0,1 純粋種の繁殖用のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,,
25,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,
26,,210.0,(1)1頭の重量が300キログラム以下のもの,"45,000円/頭",,"38,250円/頭",,無税,,,,,,,,,,,,,,,NO,,
27,,290.0,(2)その他のもの,"75,000円/頭",,"63,750円/頭",,無税,,,,,,,,,,,,,,,NO,,
28,1.03,,豚（生きているものに限る。）,,,,,,,,,,,,,,,,,,,,,,
29,103.1,0.0,純粋種の繁殖用のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,,
30,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
31,103.91,0.0,1頭の重量が50キログラム未満のもの,10%,,8.5%,,無税,,,,,,,,8.5%,,,,,,,NO,,
32,103.92,,1頭の重量が50キログラム以上のもの,(10%),,,,無税,,,,,,,,,,,,,,,,,
33,,11.0,*〔1〕1頭の課税価格が生きている豚に係る従量税適用限度価格（生きている豚に係る基準輸入価格（関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に応じ、それぞれ同表第1項第1号に定める価格をいう。以下この項において同じ。）から当該区分に対応する同法別表第1の3に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔1〕に定める額を控除して得た価格をいう。以下この項において同じ。）以下のもの,,"19,508円/頭","(19,508円/頭)",,,,,,,,,,,,,,,,,NO,,
34,,12.0,*〔2〕1頭の課税価格が生きている豚に係る従量税適用限度価格を超え、生きている豚に係る分岐点価格（生きている豚に係る基準輸入価格を、当該基準輸入価格に係る関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に対応するこの表に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔3〕に定める率（例えば、9.8％の場合は0.098）に1を加えた数で除して得た価格をいう。以下この項において同じ。）以下のもの,,1頭につき、生きている豚に係る基準輸入価格と課税価格との差額,"(19,508円/頭)",,,,,,,,,,,,,,,,,NO,,
