,Unnamed: 0,統計番号Statistical code,統計番号Statistical code.1,品名Description,関税率Tariff rate,関税率Tariff rate.1,関税率Tariff rate.2,関税率Tariff rate.3,関税率Tariff rate.4,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA).1,関税率（経済連携協定）Tariff rate (EPA).2,関税率（経済連携協定）Tariff rate (EPA).3,関税率（経済連携協定）Tariff rate (EPA).4,関税率（経済連携協定）Tariff rate (EPA).5,関税率（経済連携協定）Tariff rate (EPA).6,関税率（経済連携協定）Tariff rate (EPA).7,関税率（経済連携協定）Tariff rate (EPA).8,関税率（経済連携協定）Tariff rate (EPA).9,関税率（経済連携協定）Tariff rate (EPA).10,関税率（経済連携協定）Tariff rate (EPA).11,関税率（経済連携協定）Tariff rate (EPA).12,関税率（経済連携協定）Tariff rate (EPA).13,関税率（経済連携協定）Tariff rate (EPA).14,関税率（経済連携協定）Tariff rate (EPA).15,関税率（経済連携協定）Tariff rate (EPA).16,関税率（経済連携協定）Tariff rate (EPA).17,関税率（経済連携協定）Tariff rate (EPA).18,関税率（経済連携協定）Tariff rate (EPA).19,関税率（経済連携協定）Tariff rate (EPA).20,関税率Tariff rate.5,単位Unit,単位Unit.1,他法令Law,関税率（経済連携協定）Tariff rate (EPA).21,関税率（経済連携協定）Tariff rate (EPA).22,関税率（経済連携協定）Tariff rate (EPA).23
2377,1.0,1401.1,0.0,竹,10%,,8.5%,5%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,7%,7%,7%,,,KG,PL,,,
17860,1.0,1401.1,0.0,竹,10%,,8.5%,5%,無税,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,7.7%,7.7%,7.7%,,,KG,PL,,,
83,1.0,201.1,0.0,枝肉及び半丸枝肉,(50%),38.5%,(50%),,無税,,,,,,,,,,,,,,27%,,24.1%,24.2%,24.2%,,,,24.1%,,KG,FDAN,,,
15566,1.0,201.1,0.0,枝肉及び半丸枝肉,(50%),38.5%,(50%),,無税,,,,,,,,,,,,,,27.6%,,25%,25%,25%,,,,25%,,KG,FDAN,,,
19524,1.0,2401.1,0.0,たばこ（骨を除いてないものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,PL,,,
4041,1.0,2401.1,0.0,たばこ（骨を除いてないものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,,,,
6035,1.0,3801.1,0.0,人造黒鉛,3%,,2.5%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.2%,2.2%,2.2%,,,KG,,,,
21518,1.0,3801.1,0.0,人造黒鉛,3%,,2.5%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.3%,2.3%,2.3%,,,KG,,,,
7021,1.0,4201.0,0.0,動物用装着具（引き革、引き綱、ひざ当て、口輪、くら敷き、くら袋、犬用のコートその他これらに類する物品を含むものとし、材料を問わない。）,6.6%,,5.3%,,無税,,無税,無税,無税,無税,無税,,無税,無税,無税,無税,無税,,1%,1.9%,2.8%,2.9%,2.9%,4.6%,,,,,KG,,,,
22504,1.0,4201.0,0.0,動物用装着具（引き革、引き綱、ひざ当て、口輪、くら敷き、くら袋、犬用のコートその他これらに類する物品を含むものとし、材料を問わない。）,6.6%,,5.3%,,無税,,無税,無税,無税,無税,無税,,無税,無税,無税,無税,無税,,1.4%,2.4%,3.3%,3.4%,3.4%,5%,,,,,KG,,,,
7090,1.0,4301.1,0.0,ミンクのもの（全形のものに限るものとし、頭部、尾部又は足部が付いているかいないかを問わない。）,7%,,3.5%,無税,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,無税,無税,無税,2.9%,2.9%,2.9%,,NO,KG,WAHUAN,,,
22573,1.0,4301.1,0.0,ミンクのもの（全形のものに限るものとし、頭部、尾部又は足部が付いているかいないかを問わない。）,7%,,3.5%,無税,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,無税,無税,無税,3.2%,3.2%,3.2%,,NO,KG,WAHUAN,,,
9889,1.0,5701.1,0.0,羊毛製又は繊獣毛製のもの,9.6%,,7.9%,1.58%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.5%,無税,,SM,KG,CR,,,
25372,1.0,5701.1,0.0,羊毛製又は繊獣毛製のもの,9.6%,,7.9%,1.58%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,7.2%,無税,,SM,KG,CR,,,
10107,1.0,5901.1,0.0,書籍装丁用その他これに類する用途に供する種類の紡織用繊維の織物類で、ガム又はでん粉質の物質を塗布したもの,3.9%,,3.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.7%,2.9%,,,KG,,,,
25590,1.0,5901.1,0.0,書籍装丁用その他これに類する用途に供する種類の紡織用繊維の織物類で、ガム又はでん粉質の物質を塗布したもの,3.9%,,3.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3%,3.1%,,,KG,,,,
10168,1.0,6001.1,0.0,ロングパイル編物,9.6%,,7.9%,6.32%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.5%,無税,,,KG,,,,
25651,1.0,6001.1,0.0,ロングパイル編物,9.6%,,7.9%,6.32%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,7.2%,無税,,,KG,,,,
25821,1.0,6101.2,0.0,綿製のもの,10.9%,,(10.9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,ししゅうしたもの、レースを使用したもの及び模様編みの組織を有するもの　10.2% その他のもの　無税,10.2%,10.2%,,NO,KG,,,,
10338,1.0,6101.2,0.0,綿製のもの,10.9%,,(10.9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,ししゅうしたもの、レースを使用したもの及び模様編みの組織を有するもの　9.5% その他のもの　無税,9.5%,9.5%,,NO,KG,,,,
11264,1.0,6501.0,0.0,フェルト製の帽体（成型し又はつばを付けたものを除く。）並びにフェルト製のプラトウ及びマンション（スリットマンションを含む。）,3.6%,,(3.6%),無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.9%,2.9%,,,KG,,,,
26749,1.0,6501.0,0.0,フェルト製の帽体（成型し又はつばを付けたものを除く。）並びにフェルト製のプラトウ及びマンション（スリットマンションを含む。）,3.6%,,(3.6%),無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.3%,3.3%,,,KG,,,,
11290,1.0,6601.1,0.0,ビーチパラソルその他これに類する傘,6.4%,,4.3%,3.44%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.5%,無税,,NO,KG,,,,
26775,1.0,6601.1,0.0,ビーチパラソルその他これに類する傘,6.4%,,4.3%,3.44%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.9%,無税,,NO,KG,,,,
13029,1.0,8301.1,0.0,南京錠,4.1%,,2.7%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.2%,2.2%,,,KG,,,,
28514,1.0,8301.1,0.0,南京錠,4.1%,,2.7%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,2.5%,,,KG,,,,
30774,1.0,9503.0,0.0,三輪車、スクーター、足踏み式自動車その他これらに類する車輪付き玩具、人形用乳母車、人形、その他の玩具、縮尺模型その他これに類する娯楽用模型（作動するかしないかを問わない。）及びパズル,無税,,(無税～3.9%),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税～3.7%,無税～3.7%又は非譲許,無税～3.7%又は非譲許,,,KG,FD,,,
15289,1.0,9503.0,0.0,三輪車、スクーター、足踏み式自動車その他これらに類する車輪付き玩具、人形用乳母車、人形、その他の玩具、縮尺模型その他これに類する娯楽用模型（作動するかしないかを問わない。）及びパズル,無税,,(無税～3.9%),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税～（3.4%）,無税～（3.4%）,無税～（3.4%）,,,KG,FD,,,
84,2.0,201.2,0.0,その他の骨付き肉,(50%),38.5%,(50%),,無税,,四分体以外のもので、関税割当数量以内のもの　34.6%,,,,,,,,,,,,27%,,24.1%,24.2%,24.2%,,,,24.1%,,KG,FDAN,,,
15567,2.0,201.2,0.0,その他の骨付き肉,(50%),38.5%,(50%),,無税,,四分体以外のもので、関税割当数量以内のもの　34.6%,,,,,,,,,,,,27.6%,,25%,25%,25%,,,,25%,,KG,FDAN,,,
5922,2.0,3501.9,0.0,その他のもの,6.4%,,5.4%,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.4%,4.4%,4.4%,無税,,KG,CRFD,,,
21405,2.0,3501.9,0.0,その他のもの,6.4%,,5.4%,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.9%,4.9%,4.9%,無税,,KG,CRFD,,,
6036,2.0,3801.2,0.0,コロイド状又は半コロイド状の黒鉛,3%,,2.5%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2%,無税,,,KG,,,,
21519,2.0,3801.2,0.0,コロイド状又は半コロイド状の黒鉛,3%,,2.5%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.3%,無税,,,KG,,,,
9890,2.0,5701.9,0.0,その他の紡織用繊維製のもの,9.6%,,7.9%,1.58%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.5%,無税,,SM,KG,CR,,,
25373,2.0,5701.9,0.0,その他の紡織用繊維製のもの,9.6%,,7.9%,1.58%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,7.2%,無税,,SM,KG,CR,,,
10108,2.0,5901.9,0.0,その他のもの,4.8%,,4%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.5%,3.5%,,,KG,,,,
25591,2.0,5901.9,0.0,その他のもの,4.8%,,4%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.8%,3.8%,,,KG,,,,
25822,2.0,6101.3,0.0,人造繊維製のもの,10.9%,,(10.9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,合成繊維製のもの（ししゅうしたもの、レースを使用したもの及び模様編みの組織を有するものに限る）　10.2% その他のもの　無税,10.2%,10.2%,,NO,KG,,,,
10339,2.0,6101.3,0.0,人造繊維製のもの,10.9%,,(10.9%),,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,合成繊維製のもの（ししゅうしたもの、レースを使用したもの及び模様編みの組織を有するものに限る）　9.5% その他のもの　無税,9.5%,9.5%,,NO,KG,,,,
10949,2.0,6301.1,0.0,電気毛布,6.4%,,5.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.6%,4.6%,5%,,NO,KG,,,,
26434,2.0,6301.1,0.0,電気毛布,6.4%,,5.3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5%,5%,5.1%,,NO,KG,,,,
11083,2.0,,10.0,1 スキー靴,27%,,(27%),,,,,,,,,,27%,,,,,,,,18.5%,14.7%,14.7%,27%,,,,PR,KG,,,,
26568,2.0,,10.0,1 スキー靴,27%,,(27%),,,,,,,,,,27%,,,,,,,,20.2%,17.2%,17.2%,27%,,,,PR,KG,,,,
4076,2.0,,10.0,1 塩及び純塩化ナトリウム（目開きが2.8ミリメートルのふるい（織金網製のものに限る。）に対する通過率が全重量の70％以上のもの及び凝結させたものに限るものとし、水溶液を除く。）,0.5円/kg,,,,無税,無税,無税,,,,,,,,,,,,0.50円/kg,0.18円/kg,0.27円/kg,0.27円/kg,0.27円/kg,,,,,,MT,FD,,,
19559,2.0,,10.0,1 塩及び純塩化ナトリウム（目開きが2.8ミリメートルのふるい（織金網製のものに限る。）に対する通過率が全重量の70％以上のもの及び凝結させたものに限るものとし、水溶液を除く。）,0.5円/kg,,,,無税,無税,無税,,,,,,,,,,,,0.50円/kg,0.23円/kg,0.32円/kg,0.32円/kg,0.32円/kg,,,,,,MT,FD,,,
12751,2.0,,10.0,1 課税価格が1キログラムにつき172円以下のもの,8円/kg,,2.70円/kg,1.08円/kg,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.98円/kg,1.47円/kg,無税,無税,2.36円/kg,,,,,KG,,,,
28236,2.0,,10.0,1 課税価格が1キログラムにつき172円以下のもの,8円/kg,,2.70円/kg,1.08円/kg,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.23円/kg,1.72円/kg,無税,無税,2.53円/kg,,,,,KG,,,,
2563,2.0,,100.0,1 昆虫類のもの,12%,,9%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.1%,無税,無税,無税,7.9%,7.9%,,,,KG,WAFDAN,,,
18046,2.0,,100.0,1 昆虫類のもの,12%,,9%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.3%,無税,無税,無税,8.4%,8.4%,,,,KG,WAFDAN,,,
10592,2.0,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,11.2%,11.2%,,NO,KG,CR,,,
26077,2.0,,100.0,1 毛皮付きのもの,16%,,12.8%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,12%,12%,,NO,KG,CR,,,
3193,2.0,,100.0,1 砂糖を加えたもの,15%,,(15%),12%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5.5%,2.5%,2.5%,2.5%,13.1%,13.1%,,2.5%,,KG,FD,,,
18676,2.0,,100.0,1 砂糖を加えたもの,15%,,(15%),12%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6.8%,5%,5%,5%,14.1%,14.1%,,5%,,KG,FD,,,
6037,3.0,3801.3,0.0,電極用の炭素質ペーストその他これに類する炉の内張り用のもの,3.8%,,2.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.1%,無税,,,KG,,,,
21520,3.0,3801.3,0.0,電極用の炭素質ペーストその他これに類する炉の内張り用のもの,3.8%,,2.6%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.4%,無税,,,KG,,,,
10170,3.0,6001.21,0.0,綿製のもの,15.7%,,9.8%,7.84%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8%,無税,,,KG,,,,
25653,3.0,6001.21,0.0,綿製のもの,15.7%,,9.8%,7.84%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8.9%,無税,,,KG,,,,
11292,3.0,6601.91,0.0,折畳み式のもの,6.4%,,4.3%,3.44%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,3.8%,3.8%,3.8%,,NO,KG,,,,
