,date,title,link,content
0,2022年7月27日,インド太平洋経済枠組み（IPEF）閣僚級会合が開催されました,https://www.meti.go.jp//press/2022/07/20220727005/20220727005.html,[' 2022年7月27日  対外経済 7月26、27日の2日間で、インド太平洋経済枠組み（IPEF）に関する閣僚級会合が開催され、経済産業省から萩生田経済産業大臣が出席しました。概要は以下のとおりです。             7月26、27日、米国主催で「IPEF閣僚級会合」が開催され、「将来の交渉開始に向けた議論」として、①貿易、②サプライチェーン強靱化、③脱炭素・クリーンエネルギー、④税・腐敗防止の4つの分野における各国の関心等について意見交換が行われました。   日本からは、萩生田経済産業大臣が参加し、IPEFが、この地域の自由・公正・包摂的な経済秩序の形成に繋がるように、デジタルやサプライチェーン、脱炭素等の21世紀型の課題に対し、ルールと協力の両輪で、バランスの取れたパッケージを目指すことの重要性等を表明しました。  （参考）インド太平洋経済枠組み（IPEF） 本年5月23日、米国が、バイデン大統領訪日時に枠組みの立上げを発表。IPEF参加国：米国、日本、豪州、ニュージーランド、韓国、インド、フィジー、ASEAN7か国（ブルネイ、インドネシア、 マレーシア、フィリピン、シンガポール、タイ、ベトナム）の計14か国 ']
1,2022年7月25日,萩生田経済産業大臣がエマニュエル駐日米国大使の表敬を受けました,https://www.meti.go.jp//press/2022/07/20220725005/20220725005.html,[' 2022年7月25日  対外経済 7月25日（月曜日）、萩生田経済産業大臣は、エマニュエル駐日米国大使の表敬を受けました。             7月25日（月曜日）、萩生田経済産業大臣は、エマニュエル駐日米国大使の表敬を受けました。   冒頭、萩生田大臣は、安倍晋三元内閣総理大臣の逝去に対する米国からの弔意の表明に対し感謝の意を伝えました。  両者は、今月行われる日米経済政策協議委員会（経済版「２＋２」）閣僚会合に向けて、経済分野での日米協力を深化・拡大させていくことで一致しました。また、萩生田大臣からは、世界有数のLNG生産国である米国に対し、LNGの増産や安定供給について要請を行いました。']
2,2022年7月25日,萩生田経済産業大臣がインドネシア・アイルランガ経済担当調整大臣及びアグス工業大臣と会談しました,https://www.meti.go.jp//press/2022/07/20220725004/20220725004.html,[' 2022年7月25日  対外経済 7月25日、萩生田経済産業大臣は、インドネシア・アイルランガ経済担当調整大臣及びアグス工業大臣と会談し、自動車産業や鉄鋼産業など個別の産業政策や官民経済対話等についての意見交換を通じて、両国の経済関係を一層深化させていくことを確認しました。             2022年7月25日、萩生田経済産業大臣は、インドネシア・アイルランガ経済担当調整大臣及びアグス工業大臣と会談しました。   会談では、日インドネシア二国間経済関係の強化に向けて、日インドネシアのサプライチェーンの強靱化等に向けた自動車産業や鉄鋼産業など個別の産業政策や、アイルランガ大臣と1月の会談で設置に合意した官民経済対話等について意見交換を行いました。  ']
3,2022年7月22日,第1回「日ASEAN経済共創ビジョン策定のための検討委員会」を開催しました,https://www.meti.go.jp//press/2022/07/20220722002/20220722002.html,[' 2022年7月22日同時発表：独立行政法人日本貿易振興機構  対外経済 経済産業省及びジェトロ並びに日本商工会議所をはじめとする経済界は、本日、第1回「日ASEAN経済共創ビジョン策定のための検討委員会」を開催し、新たな日ASEANの経済関係の将来像について検討を行いました。 １．概要 本日、経済産業省及びジェトロ並びに日本商工会議所をはじめとする経済界は、来年2023年の日ASEAN友好協力50周年を機に、将来を見据えた、新しい時代の日ASEAN経済関係の共創の方向性を示す、「日ASEAN経済共創ビジョン（以下、「ビジョン」という。）」を策定するための検討委員会を開催し、参加者による意見交換を行いました。 今後、日ASEANのビジネス・リーダー、スタートアップ、産業人材育成機関、アカデミアなどの幅広い意見を集約するため、関係者へのヒアリングを行うとともに、ASEANの経済団体等からインサイトを集め、ビジョンの最終とりまとめに向け議論を深めていきます。 2．主な参加者（五十音順、敬称略） 委員 相澤 伸広 国立大学法人九州大学 比較社会文化研究院 准教授 澤田 康幸 国立大学法人東京大学大学院 経済学研究科 教授 清水 新一郎 日本商工会議所 ASEAN・日本経済協議会日本委員会委員 (座長)白石 隆 公立大学法人熊本県立大学 理事長 竹原 玲児 一般社団法人日本経済団体連合会 国際協力本部長 平子 裕志 公益社団法人経済同友会 アジアPT委員長  (主査) 渡辺 哲也 経済産業省 特別顧問、独立行政法人経済産業研究所 副所長 事務局 経済産業省 通商政策局 アジア大洋州課 日本貿易振興機構 海外調査部 アジア大洋州課 3．関連資料 ジェトロ特設ホームページにて掲載しますので、そちらから御確認ください。 掲載資料一覧 1 議事概要  追って ジェトロ特設ホームページ にて掲載します。  2 配付資料  議事次第  日ASEAN経済共創ビジョン策定のための検討委員会の設置について（案）  \u200b（論点メモ）日ASEAN経済共創ビジョン策定に向けたキーコンセプトについて \u200b日ASEAN経済共創ビジョン策定プロジェクトの今後の進め方（案）']
4,2022年7月21日,萩生田経済産業大臣がサプライチェーン閣僚会合に出席しました,https://www.meti.go.jp//press/2022/07/20220721004/20220721004.html,[' 2022年7月21日  対外経済 7月20日（水曜日）、萩生田経済産業大臣はオンラインで開催された米国主催サプライチェーン閣僚会合に出席しました。同会合では、サプライチェーン強靱化に関して議論がなされました。 1．会合概要   閣僚会合は、米国ブリンケン国務長官、レモンド商務長官の冒頭発言に続き、萩生田経済産業大臣を含む参加閣僚が発言しました。    \xa0    出席閣僚は、短期的なサプライチェーンの寸断や長期的な強靭性構築に関し議論を行い、共同声明を採択しました。  2．萩生田大臣の発言内容（要旨） サプライチェーン強靱化について、透明性、多様性、安全性、持続可能性の４つの原則を支持。日本も、サプライチェーン強靱化に向けた施策を実行。「戦略物資・エネルギーサプライチェーン対策本部」において、ウクライナ情勢によって大きな影響をうける物資の確保に向けた緊急対策を実行。また、経済安全保障推進法の着実な施行を通じて、戦略物資のサプライチェーン強靱化対策を進める。サプライチェーン強靱化は一国で実現できるものではなく、同志国との連携が重要。同志国との信頼性に担保された強靱なサプライチェーンをインド太平洋地域、更にはグローバルに展開するための議論に積極的に貢献していく。 3．共同声明   透明性、多様性、安全性、持続可能性の4つの原則に沿って、国際協調を促進し、長期にわたり強靭な、サプライチェーンを構築する意思が確認されています。  （参考）共同声明全文 ']
5,2022年7月15日,萩生田経済産業大臣がタイ・アネーク高等教育・科学・研究・イノベーション大臣と会談を行いました,https://www.meti.go.jp//press/2022/07/20220715002/20220715002.html,[' 2022年7月15日  対外経済 7月15日、萩生田経済産業大臣は、タイのアネーク高等教育・科学・研究・イノベーション大臣と会談し、アジア未来投資イニシアティブに基づく取組の具体化等、二国間関係の深化に向けて幅広く意見交換しました。 会談概要  2022年7月15日（金曜日）、萩生田経済産業大臣は、アネーク高等教育・科学・研究・イノベーション大臣と会談を行いました。   会談では、今年１月に発表した「アジア未来投資イニシアティブ」に基づく具体的な取組として、日泰企業の共創によるイノベーション創出へ向けた連携の確認や、タイ高専と日系企業の連携推進、来年の日ASEAN友好協力50周年に向けた協力など、日タイ両国の経済関係を深めるための様々な意見交換を行いました。  ']
6,2022年7月15日,インド工科大学ハイデラバード校における企業説明会「JAPAN DAY 2022」を開催します,https://www.meti.go.jp//press/2022/07/20220715004/20220715004.html,[' 2022年7月15日  対外経済 9月24 日（土曜日）に、日本貿易振興機構（JETRO）、国際協力機構（JICA）及びインド工科大学ハイデラバード校（IIT-H） の共催で、日本企業によるインド高度技術人材採用を促進するため、同校学生向けの日本企業説明会「JAPAN DAY 2022」を開催します。今年は3年ぶりにIIT-Hキャンパスで実施します。 1．「JAPAN DAY 2022」について  「JAPAN\u3000DAY」は、将来日本で不足が懸念されているIT人材を念頭に、日本企業によるインドの高度技術人材採用を支援することを目的として、2018年から開催しており、今年で5度目の開催となります。新型コロナウイルスの感染拡大を受け、2020年から、オンラインで開催していましたが、今年は3年ぶりにIIT-Hキャンパスで実施する予定です。  2．イベント概要  日時：2022年9月24日（土）   場所：IIT-Hキャンパス   対象：インドの高度人材採用にご関心のある日本企業（スタートアップ、中堅中小、大手）   参加費用：無料（渡航費、滞在費、現地での移動費等は全て自己負担になります））   募集社数：10社程度（審査有り）   募集要項及び申込フォーム： https://www.jetro.go.jp/events/inl/aadb09370cfbf904.html  締め切り：8月12日（金）23時59分（日本時間）   問い合せ：ジェトロ・JAPANDAY事務局   E-mail： INL@jetro.go.jp 3．インド工科大学ハイデラバード校（IIT-H）について  IIT-Hは、インド理工学系高等教育機関の最高峰であるインド工科大学（IIT）の一つで、インド政府の要請に応じ、日本政府による技術・財政支援を受けて2008年に設立されました。IIT-H と本邦産学官の研究・人材交流の促進、教育・研究面での日印ネットワークの形成を目的に、2012年よりJICAが奨学金プログラムを実施し、これまで100名以上のIIT-H卒業生を本邦大学の修士・博士課程に留学生として派遣してきました。\xa0  ']
7,2022年7月7日,萩生田経済産業大臣がカナダ・シャンパーニュ革新・科学・産業大臣と会談を行いました,https://www.meti.go.jp//press/2022/07/20220707001/20220707001.html,[' 2022年7月7日  対外経済 7月7日（木曜日）、萩生田経済産業大臣は、カナダ・シャンパーニュ革新・科学・産業大臣と会談を行い、G7でのデジタル分野の連携を確認するとともに、日カナダ経済協力の強化等について意見交換しました。 2022年7月7日、萩生田経済産業大臣は、訪日中のカナダ・シャンパーニュ革新・科学・産業大臣と会談を行いました。 \xa0 ウクライナ情勢等を受けて、国際秩序の変化や世界経済の先行きの不透明さが増す中、会談では我が国政府と共通の価値観を有するカナダ政府との間で、デジタル、自動車、技術協力等の分野で協力を深めていくことを確認しました。 \xa0 具体的には、萩生田大臣から、DFFT（データー・フリーフロー・ウィズ・トラスト：信頼性のある自由なデータ流通）の具体化に向けたG7等での連携強化、自動車部門の脱炭素化や強靱で持続可能なサプライチェーン構築の重要性、日本の産業技術総合研究所（ＡＩＳＴ）とカナダの国立研究機構（ＮＲＣ）の研究協力等の促進、エネルギー安定供給に向けた日加連携の重要性等について述べました。 \xa0\xa0\xa0 \xa0  ']
8,2022年7月5日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置を実施します,https://www.meti.go.jp//press/2022/07/20220705005/20220705005.html,[' 2022年7月5日同時発表：外務省・財務省  対外経済 ウクライナをめぐる現下の国際情勢に鑑み、この問題の解決を目指す国際平和のための国際的な努力に我が国として寄与するため、主要国が講ずることとした措置の内容を踏まえ、閣議了解「ロシア連邦関係者に対する資産凍結等の措置等について」（令和４年７月５日付）を行い、これに基づき、外国為替及び外国貿易法による次の措置を実施することとしました。 １．措置の内容 （１）資産凍結等の措置  外務省告示（7月5日公布）により資産凍結等の措置の対象者として指定されたロシア連邦の関係者（57個人・6団体）及びウクライナ東部の不安定化に直接関与していると判断される者（5個人）に対し、（ⅰ）及び（ⅱ）の措置を実施する。  （ⅰ）\u3000支払規制  外務省告示により指定された者に対する支払等を許可制とする。  （ⅱ）\u3000資本取引規制  外務省告示により指定された者との間の資本取引（預金契約、信託契約及び金銭の貸付契約）等を許可制とする。  （２）ロシア連邦及びベラルーシ共和国の特定団体への輸出等に係る禁止措置  外務省告示（7月5日公布）によりロシア連邦の特定団体として指定された65団体及びベラルーシ共和国の特定団体として指定された25団体への輸出等に係る禁止措置を、令和4年7月12日より実施する。  （３）ロシア連邦向けのサービスの提供の禁止措置  財務省告示（7月5日公布）により、ロシア連邦向けの信託サービス、会計・監査サービス、経営コンサルティング・サービスの提供を許可制とする。    （注1）令和4年9月5日以後に開始される役務取引について適用する。  （４）ロシア連邦からの貴金属（金）の輸入禁止措置  ロシア連邦からの貴金属（金）の輸入禁止措置を導入する。    （注2）当該輸入禁止措置については、後日、財務省告示により指定する予定。  2．関連URL 貿易管理HP \u3000   （注）閣議了解に基づく資産凍結等の対象者については、上記HPに記載しております。  安全保障貿易管理HP ウクライナ情勢関連HP']
9,2022年7月5日,「EPA活用推進会議」を新たに設置します,https://www.meti.go.jp//press/2022/07/20220705004/20220705004.html,[' 2022年7月5日  対外経済 経済産業省は、中堅・中小企業等を含むより多くの企業によるEPA活用を推進する方策を検討するために、「EPA活用推進会議」を新たに設立し、第１回を7月6日に開催します。本会議での議論を通じて、EPAの活用に関する課題を業種横断的に共有し、効果的な改善策を検討するとともに、これらの成果を広く周知します。 1．「EPA活用推進会議」の設立趣旨  \u3000現在、我が国は50か国との間で20のEPAが発効済です。特に、本年１月にRCEP協定が発効したことに伴い、新たにEPA活用に取り組む企業が大幅に増えています。   \u3000中堅・中小企業等が新たにEPAを活用する手順を分析すると、３つの「壁」が存在します。具体的には、①複雑で専門的な制度・利用プロセスに関する理解が追いつかない「知識の壁」、②複雑な手続きを完遂できない「プロセスの壁」及び、③原産性調査に当たって、取引先が情報提供を躊躇するため、協力が得られない等の「協力企業の壁」です。中堅・中小企業等が円滑にEPAを活用できる環境を整えることが、我が国産業の国際競争力強化のために不可欠です。   \u3000こうした認識に基づき、経済産業省は、10業種の業界団体・企業や関連サービスを提供する民間企業、学識者、政府関係機関が一堂に会して、より多くの我が国企業が３つの壁を乗り越えるための方策を検討するために、「EPA活用推進会議」を設立します。  ２．検討項目や成果のイメージ  （１）業種特性を踏まえたきめ細やかな解決策   ・業種毎にEPA活用の標準作業フローを纏めたマニュアルの作成   ・輸出者と取引先との協力を円滑化するための標準書類フォーマットの作成   （２）デジタル・プラットフォームの構築   ・EPA活用のためのプロセスを簡素化・電子化し、企業をワンストップで支援するデジタル・プラットフォームの構築  ３．スケジュール  ・第１回\u30007月6日（水）   ・今年度中に、合計４回程度開催予定。                                                                    ']
