,date,tag,topic,link
0,Jul 26.2022,Procedure,Rate of Exchange(July 31 2022- August 6 2022),https://www.customs.go.jp/english/kawase/index_e.htm
1,Jul.21.2022,Other,Payments of customs duties and taxes by credit cards,https://www.customs.go.jp/english/passenger/cashless/creca.html
2,Jul.21.2022,Other,Payments of customs duties and taxes by mobile payment applications,https://www.customs.go.jp/english/passenger/cashless/smapay.html
3,Jul.21.2022,Statistics,Trade Statistics(Jun 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
4,Jul.14.2022,Other,Time Series Data by EPA,https://www.customs.go.jp/english/../kyotsu/kokusai/toukei/index_e.htm
5,Jul.7.2022,Statistics,Trade Statistics(First 20 Days of Jun 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
6,Jun.29.2022,Statistics,Trade Statistics(First 10 Days of June 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
7,Jun.16.2022,Statistics,Trade Statistics(May 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
8,Jun.7.2022,Statistics,Trade Statistics(First 20 Days of May 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
9,May 31.2022,Release,Entry into force of Customs Mutual Assistance Agreement (CMAA)between Japan and the Republic of Moldova,https://www.customs.go.jp/englishtps://www.mof.go.jp/english/policy/customs_tariff/information/ka20220531_e.html
10,May 27.2022,Other,Guide to obtaining preferential tariff treatment when importing goods under the RCEP Agreement,https://www.customs.go.jp/english/epa/rcep/rcep.html
11,May 27.2022,Statistics,Trade Statistics(First 10 Days of May 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
12,May 19.2022,Statistics,Trade Statistics(April 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
13,May 11.2022,Statistics,Trade Statistics(First 20 Days of April 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
14,Apr.28.2022,Release,Announcement of the Anti-Dumping Duty Investigation on Hot-dipped Galvanized Steel Wire Originating in the People’s Republic of China and the Republic of Korea,https://www.customs.go.jp/englishtps://www.mof.go.jp/english/customs_tariff/traderemedy/ka20220428_e.html
15,Apr.27.2022,Statistics,Trade Statistics(First 10 Days of April 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
16,Apr.20.2022,Statistics,Trade Statistics(March 2022 & Fiscal Year April - March 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
17,Apr.7.2022,Statistics,Trade Statistics(First 20 Days of March 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
18,Apr.1.2022,Other,Payments of customs duties and taxes by Internet banking via the Multi-Payment Network,https://www.customs.go.jp/english/passenger/cashless/mpn_netbanking.html
19,Apr.1.2022,Procedure,Japan's Tariff Schedule as of April 1 2022,https://www.customs.go.jp/english/tariff/2022_04_01/index.htm
20,Mar.30.2022,Statistics,Trade Statistics(First 10 Days of March 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
21,Mar.16.2022,Statistics,Trade Statistics(February 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
22,Mar.7.2022,Statistics,Trade Statistics(First 20 Days of February 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
23,Feb.25.2022,Statistics,Trade Statistics(First 10 Days of February 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
24,Feb.17.2022,Statistics,Trade Statistics(January 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
25,Feb.7.2022,Statistics,Trade Statistics(First 20 Days of  January 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
