,date,tag,topic,link
0,7月26日,その他,税関における新型コロナウイルス感染症陽性者の判明について(令和4年7月26日更新),https://www.customs.go.jp/englishnews/2022covid-19.html
1,7月26日,手続,価格の換算に用いる外国為替相場（令和4年7月31日～令和4年8月6日）,https://www.customs.go.jp/english/tetsuzuki/kawase/index.htm
2,7月21日,その他,クレジットカードを利用した関税等の納付のページを更新しました。,https://www.customs.go.jp/english/kaigairyoko/creca.html
3,7月21日,その他,スマートフォン決済アプリを利用した関税等の納付のページを更新しました。,https://www.customs.go.jp/english/kaigairyoko/smapay.htm
4,7月21日,統計,貿易統計（令和4年６月分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
5,7月14日,その他,経済連携協定別時系列表,https://www.customs.go.jp/english/kyotsu/kokusai/toukei/index.htm
6,7月7日,その他,特恵関税の適用輸入実績（2022年4月）を掲載しました,https://www.customs.go.jp/english/kyotsu/import/tokkei/index.htm
7,7月7日,統計,貿易統計（令和4年６月上中旬分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
8,7月1日,その他,ワシントン条約該当物品輸入差止等実績を更新しました,https://www.customs.go.jp/english/mizugiwa/washington/washington.htm
9,7月1日,その他,第56回通関士試験（令和4年）,https://www.customs.go.jp/english/tsukanshi/56_shiken.htm
10,7月1日,手続,「新型コロナウイルス感染症等の影響による保税地域の許可手数料の納付期限の延長及び許可手数料の還付、軽減又は免除について」を掲載しました,https://www.customs.go.jp/englishnews/20220701.htm
11,7月1日,手続,「新型コロナウイルス感染症等の影響による申請・納付等の期限の延長等について」を更新しました,https://www.customs.go.jp/englishnews/20200511_index.htm
12,7月1日,法令,新型コロナウイルス感染症及びそのまん延防止のための措置の影響により関税法施行令第一条の四第二項の規定に基づき財務大臣が同項に規定する対象者の範囲及び期日を定める件（令和４年財務省告示第177号）,https://www.customs.go.jp/english/kaisei/kokuji/2022kokuji/2022kokuji177.pdf
13,7月1日,法令,都道府県の全部の地域の関税に関する申請期限等を指定する件（令和４年財務省告示第176号）,https://www.customs.go.jp/english/kaisei/kokuji/2022kokuji/2022kokuji176.pdf
