,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率Tariff rate,単位Unit,単位Unit,他法令Law
,番号H.S. code,Unnamed: 1_level_1,品名Description,基本General,暫定Temporary,WTO協定WTO,特恵GSP,特別特恵LDC,シンガポールSingapore,メキシコMexico,マレーシアMalaysia,チリChile,タイThailand,インドネシアIndonesia,ブルネイBrunei,アセアンASEAN,フィリピンPhilippines,スイスSwitzerland,ベトナムViet Nam,インドIndia,ペルーPeru,豪州Australia,モンゴルMongolia,TPP11 (CPTPP),欧州連合EU,日米貿易協定US◆1,I,II,他法令Law
0,1.01,,馬、ろ馬、ら馬及びヒニー（生きているものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,馬,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101.21,,純粋種の繁殖用のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,100.0,1 サラブレッド種、サラブレッド系種、アラブ種、アングロアラブ種又はアラブ系種の馬（以下この項において「軽種馬」という。）以外のものである旨が関税定率法施行令（以下この類において「政令」という。）で定めるところにより証明されたもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
4,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,210.0,(1)軽種馬（競馬の競走用以外の用途に供するものであり、かつ、妊娠していないものである旨が政令で定めるところにより証明されたものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
6,,290.0,(2)その他のもの,"4,000,000円/頭",,"3,400,000円/頭",,無税,,,,,,,,,,,,,,関税割当数量以内のもの　191.25万円/頭,,無税,無税,無税,,NO,PMAN
7,101.29,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,100.0,1 軽種馬以外のものである旨が政令で定めるところにより証明されたもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
9,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,210.0,(1)軽種馬（競馬の競走用以外の用途に供するものであり、かつ、妊娠していないものである旨が政令で定めるところにより証明されたものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
11,,290.0,(2)その他のもの,"4,000,000円/頭",,"3,400,000円/頭",,無税,,,,,,,,,,,,,,,,"2,762,500円/頭","2,762,500円/頭","2,762,500円/頭",,NO,PMAN
12,101.3,0.0,ろ馬,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
