,date,tag,title,link
0,,統計,貿易統計（令和4年7月上旬分速報）,https://www.customs.go.jp/toukei/latest/index.htm
1,税関における新型コロナウイルス感染症陽性者の判明について(令和4年7月27日,その他,税関における新型コロナウイルス感染症陽性者の判明について(令和4年7月27日更新),https://www.customs.go.jp/news/news/2022covid-19.html
2,価格の換算に用いる外国為替相場（令和4年7月31日,手続,価格の換算に用いる外国為替相場（令和4年7月31日～令和4年8月6日）,https://www.customs.go.jp/tetsuzuki/kawase/index.htm
3,,その他,クレジットカードを利用した関税等の納付のページを更新しました。,https://www.customs.go.jp/kaigairyoko/creca.html
4,,その他,スマートフォン決済アプリを利用した関税等の納付のページを更新しました。,https://www.customs.go.jp/kaigairyoko/smapay.htm
5,,統計,貿易統計（令和4年６月分速報）,https://www.customs.go.jp/toukei/latest/index.htm
6,,その他,経済連携協定別時系列表,https://www.customs.go.jp/kyotsu/kokusai/toukei/index.htm
7,,その他,特恵関税の適用輸入実績（2022年4月）を掲載しました,https://www.customs.go.jp/kyotsu/import/tokkei/index.htm
8,,統計,貿易統計（令和4年６月上中旬分速報）,https://www.customs.go.jp/toukei/latest/index.htm
9,,その他,ワシントン条約該当物品輸入差止等実績を更新しました,https://www.customs.go.jp/mizugiwa/washington/washington.htm
10,,その他,第56回通関士試験（令和4年）,https://www.customs.go.jp/tsukanshi/56_shiken.htm
11,,手続,「新型コロナウイルス感染症等の影響による保税地域の許可手数料の納付期限の延長及び許可手数料の還付、軽減又は免除について」を掲載しました,https://www.customs.go.jp/news/news/20220701.htm
12,,手続,「新型コロナウイルス感染症等の影響による申請・納付等の期限の延長等について」を更新しました,https://www.customs.go.jp/news/news/20200511_index.htm
13,新型コロナウイルス感染症及びそのまん延防止のための措置の影響により関税法施行令第一条の四第二項の規定に基づき財務大臣が同項に規定する対象者の範囲及び期日,法令,新型コロナウイルス感染症及びそのまん延防止のための措置の影響により関税法施行令第一条の四第二項の規定に基づき財務大臣が同項に規定する対象者の範囲及び期日を定める件（令和４年財務省告示第177号）,https://www.customs.go.jp/kaisei/kokuji/2022kokuji/2022kokuji177.pdf
14,,法令,都道府県の全部の地域の関税に関する申請期限等を指定する件（令和４年財務省告示第176号）,https://www.customs.go.jp/kaisei/kokuji/2022kokuji/2022kokuji176.pdf
15,2025年日,法令,2025年日本国際博覧会のために使用される展示物品等の税関における取扱いについて（令和４年６月29日財関499号）,https://www.customs.go.jp/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu499/R4t499_honbun.pdf
16,,その他,アマゾンジャパン合同会社と覚書を締結しました,https://www.customs.go.jp/mizugiwa/boushi/boushi.htm
17,,統計,貿易統計（令和4年6月上旬分速報）,https://www.customs.go.jp/toukei/latest/index.htm
18,関税法基本通達等の一部改正について（令和4年6月20日,法令,関税法基本通達等の一部改正について（令和4年6月20日財関第469号）,https://www.customs.go.jp/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu469/index.html
19,関税法基本通達等の一部改正について（令和4年6月20日,法令,関税法基本通達等の一部改正について（令和4年6月20日財関第468号）,https://www.customs.go.jp/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu468/index.html
20,,統計,貿易統計（令和4年5月分速報）,https://www.customs.go.jp/toukei/latest/index.htm
21,,その他,総合職採用関連情報の更新,https://www.customs.go.jp/saiyou/sogosaiyo.html
22,経済安全保障に係る税関における対応について（令和４年６月10日,法令,経済安全保障に係る税関における対応について（令和４年６月10日財関第439号）,https://www.customs.go.jp/kaisei/zeikantsutatsu/kobetsu/TU-R04z439.pdf
23,,法令,ロシアの産業基盤強化に資する物品の輸出の禁止措置に伴う税関の対応について,https://www.customs.go.jp/kaisei/zeikantsutatsu/kobetsu/TU-R04z438.pdf
24,,その他,「海外仕出人・仕向人コードリスト」を更新しました,https://www.customs.go.jp/zeikan/seido/zeikancode.htm
25,,統計,貿易統計（令和4年5月上中旬分速報）,https://www.customs.go.jp/toukei/latest/index.htm
26,,報道資料,モルドバとの税関相互支援協定が発効します,https://www.customs.go.jp/news/hodo.htm#20220531
27,,その他,通関業者一覧を掲載しました,https://www.customs.go.jp/tsukangyousha/index.htm
28,,統計,貿易統計（令和4年5月上旬分速報）,https://www.customs.go.jp/toukei/latest/index.htm
29,,その他,品目分類事例の追加に関する件,https://www.customs.go.jp/tetsuzuki/bunruijirei/bunruijirei_index.htm
30,,その他,EPA相手国の事前教示制度に関する資料を掲載しました,https://www.customs.go.jp/kyotsu/kokusai/epa_aitekokujizenkyouzi.html
31,,統計,貿易統計（令和4年4月分速報）,https://www.customs.go.jp/toukei/latest/index.htm
32,,法令,ロシアに対する先端的な物品等の輸出の禁止措置に伴う税関の対応について,https://www.customs.go.jp/kaisei/zeikantsutatsu/kobetsu/TU-R04z341.pdf
33,関税・外国為替等審議会 関税分科会（令和4年3月28日,その他,関税・外国為替等審議会 関税分科会（令和4年3月28日開催）議事録,https://www.customs.go.jp/news/hodo.htm#20220513
34,,統計,貿易統計（令和4年4月上中旬分速報）,https://www.customs.go.jp/toukei/latest/index.htm
35,NACCS用品目コード一覧（2022年4月1日,その他,NACCS用品目コード一覧（2022年4月1日）を掲載,https://www.customs.go.jp/tariff/2022_04_01/naccscode2022_1.html
36,NACCS用品目コード一覧（2022年4月1日,その他,NACCS用品目コード一覧（2022年4月1日）を掲載,https://www.customs.go.jp/tariff/2022_04_01/naccscode2022_2.html
37,,報道資料,中華人民共和国産及び大韓民国産溶融亜鉛めっき鉄線に対する不当廉売関税の課税に関する調査において調査対象貨物の変更及び調査期間の延長を行います,https://www.customs.go.jp/news/hodo.htm#20220428
38,,その他,地域的な包括的経済連携(RCEP)協定フォローアップセミナーの資料を掲載しました,https://www.customs.go.jp/kyotsu/kokusai/news/rcep_exp_0406.html
39,,統計,貿易統計（令和4年4月上旬分速報）,https://www.customs.go.jp/toukei/latest/index.htm
40,ロシアを原産地とする貨物に対する適正な関税率の適用について（令和4年4月20日,法令,ロシアを原産地とする貨物に対する適正な関税率の適用について（令和4年4月20日財関第274号）,https://www.customs.go.jp/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu274/R4t274_honbun.pdf
41,関税法基本通達の一部改正について（令和４年４月20日,法令,関税法基本通達の一部改正について（令和４年４月20日財関第273号）,https://www.customs.go.jp/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu273/index.html
42,,法令,国際関係の緊急時に特定の国を原産地とする物品に課する関税に関する政令（令和４年政令第179号）,https://www.customs.go.jp/kaisei/seirei.htm
43,,法令,「関税暫定措置法の一部を改正する法律案」が参・本会議で可決、成立,https://www.customs.go.jp/news/movement.htm#20220420
44,,統計,貿易統計（令和4年3月分及び令和3年度分速報）,https://www.customs.go.jp/toukei/latest/index.htm
45,,法令,「関税暫定措置法の一部を改正する法律案」が参議院財政金融委員会で可決,https://www.customs.go.jp/news/movement.htm#20220419
46,,その他,「経済連携協定（EPA）利用に係るアンケート」の調査結果,https://www.customs.go.jp/kyotsu/kokusai/epa_answer.html
47,,その他,税関におけるRPAによる業務効率化の取組（2022年4月）,https://www.customs.go.jp/zeikan/seido/smart/annex5.pdf
48,,法令,「関税暫定措置法の一部を改正する法律案」が衆議院本会議で可決,https://www.customs.go.jp/news/movement.htm#20220414
49,,採用,令和４年度税関総合職採用パンフレットの掲載について,https://www.customs.go.jp/saiyou/pamphlet-s.htm
50,,法令,「関税暫定措置法の一部を改正する法律案」が衆・財金委で可決,https://www.customs.go.jp/news/movement.htm#20220413
51,,その他,関税率表解説・分類例規の改正について,https://www.customs.go.jp/tariff/kaisetu/index.htm
52,分類例規の一部改正について（令和4年4月13日,法令,分類例規の一部改正について（令和4年4月13日財関第255号）,https://www.customs.go.jp/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu255/index.html
53,,法令,ロシア連邦を原産地又は船積地域とする貨物の輸入の禁止措置に伴う税関の対応について,https://www.customs.go.jp/kaisei/zeikantsutatsu/kobetsu/TU-R04z251.pdf
54,,手続,加工再輸入減税制度マニュアルの更新について,https://www.customs.go.jp/tsukan/zanpachi/index.htm
55,,統計,貿易統計（令和4年3月上中旬分速報）,https://www.customs.go.jp/toukei/latest/index.htm
56,,手続,事前教示回答（減免税）を更新しました,https://www.customs.go.jp/zeikan/seido/genmenzei/kaitoujirei.htm
57,,法令,関税暫定措置法の一部を改正する法律案を国会に提出,https://www.customs.go.jp/news/movement.htm#20220405
58,,その他,ロシアに対する関税における最恵国待遇の撤回について答申,https://www.customs.go.jp/news/hodo.htm#20220405
59,関税・外国為替等審議会 関税分科会(令和4年3月28日,その他,関税・外国為替等審議会 関税分科会(令和4年3月28日開催) 配布資料一覧,https://www.customs.go.jp/news/hodo.htm#20220405
60,日,報道資料,日タイ間でＡＥＯ（認定事業者）制度の相互承認取決めに署名しました,https://www.customs.go.jp/news/hodo.htm#20220405
61,,その他,入国旅客等のMPNによる関税等の納付の利用開始について,https://www.customs.go.jp/kaigairyoko/mpn_netbanking.html
62,実行関税率表（2022年4月1日,手続,実行関税率表（2022年4月1日版）,https://www.customs.go.jp/tariff/2022_04_01/index.htm
63,,法令,税関職員の身分を示す証票等の書式に関する省令の一部を改正する省令（令和4年財務省令第11号）,https://www.customs.go.jp/kaisei/shourei.htm
