date,title,link,content
06/30/2022,"Addition of Entities, Revision and Correction of Entries, and Removal of Entities from the Entity List",,"In this rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding 36 entities under 41 entries to the Entity List. These 36 entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. These entities will be listed on the Entity List under the destinations of the People’s Republic of China (China), Lithuania, Pakistan, the Russian Federation (Russia), Singapore, the United Arab Emirates (UAE), the United Kingdom, Uzbekistan, and Vietnam. Some entities are added under multiple entries, accounting for the difference in the total number of entities and entries in this rule. This rule also revises eleven existing entries under the destinations of Belarus, China, Russia, and Slovakia and corrects one existing entry on the Entity List under the destination of Pakistan. Lastly, this rule removes two entities and one address for a non-listed entity, consisting of one removal of an entity and one removal of an address under the destination of China, and one removal under the destination of Pakistan. The removals from the Entity List are made in connection with requests for removal that BIS received pursuant to the EAR and a review of the information provided in those requests."
06/06/2022,Additions of Entities to the Entity List,,"In response to the Russian Federation’s (Russia’s) further invasion of Ukraine on February 24, 2022, the Department of Commerce is amending the Export Administration Regulations (EAR) by adding 71 entities under 71 entries to the Entity List. These entities have been determined by the U.S. Government to be acting contrary to the national security interests or foreign policy of the United States and will be listed on the Entity List under the destinations of Belarus and Russia."
06/06/2022,"Export Administration Regulations: Revisions to Russia and Belarus Sanctions and Related Provisions; Other Revisions, Corrections, and Clarification",,"Between February and May 2022, the Bureau of Industry and Security (BIS) has published a series of amendments to the Export Administration Regulations (EAR) that have increasingly tightened export controls on the Russian Federation (Russia) and Belarus in response to Russia’s further invasion of Ukraine, as substantially enabled by Belarus. This rule revises, corrects, and clarifies certain provisions of the EAR that pertain to these controls and related provisions. First, this rule makes certain revisions to the EAR’s military end use and military end user controls as they apply to Russia and Belarus, as well as related modifications to the entries for entities on the Entity List that are Russian and Belarusian military end users. Second, it revises restrictions that apply to items destined for certain regions in Ukraine by clarifying the categories of license applications that BIS subjects to case-by-case review. Third, this rule clarifies and corrects provisions of the EAR that pertain to luxury goods destined for Russia and Belarus and items for use in Russia’s oil refinery sector. Fourth, it makes a technical correction to an EAR provision describing items and activities subject to the EAR by adding a cross-reference to the Foreign Direct Product Rules of the EAR, which were updated shortly before the Russia and Belarus export controls were imposed. Finally, with regard to export control enforcement, including enforcement of the Russia and Belarus controls, this rule revises the EAR to allow export enforcement case charging letters to be made available to the public prior to the final administrative disposition of such cases"
06/01/2022,Adoption of Congressional Notification Requirement for Certain Semiautomatic Firearms Exports Under the Export Administration Regulations (EAR),,"In this final rule, the Bureau of Industry and Security (BIS) is amending the Export Administration Regulations (EAR) to add a new section to the EAR to adopt a congressional notification requirement for certain license applications of semiautomatic firearms meeting certain value and destination requirements. This rule does not change the interagency license process for these firearms or how license applicants currently structure or generally apply for BIS licenses."
05/26/2022,Information Security Controls: Cybersecurity Items,,"BIS is finalizing changes to License Exception ACE and corresponding changes in the definition section of the Export Administration Regulations (EAR) in response to public comments to an October 21, 2021 interim rule.? That rule established a new control on certain cybersecurity items for National Security (NS) and Anti-terrorism (AT) reasons, as well as adding a new License Exception Authorized Cybersecurity Exports (ACE) that authorizes exports of these items to most destinations except in certain circumstances.? These items warrant controls because these tools could be used for surveillance, espionage, or other actions that disrupt, deny or degrade the network or devices on it.? This rule also corrects Export Control Classification Number (ECCN) 5D001 in the Commerce Control List. "
05/23/2022,Commerce Control List:? Controls on Certain Marine Toxins ,,"This rule requests public comments on proposed amendments to the EAR that would add four marine toxins (i.e., brevetoxin, gonyautoxin, nodularin and palytoxin) to Export Control Classification Number (ECCN) 1C351 on the Commerce Control List (CCL).? BIS has identified the synthesis and collection of these toxins for evaluation according to the criteria in Section 1758 of the Export Control Reform Act of 2018 (ECRA) pertaining to emerging and foundational technologies.? In addition, this rule proposes to make conforming changes to ECCN 1C991 (Vaccines, immunotoxins, medical products, diagnostic and food testing kits), § 740.20?License Exception Strategic Trade Authorization (STA), and § 742.18?Chemical Weapons Convention (CWC) to reflect the proposed renumbering of the toxins in ECCN 1C351.d.? Although this rule does not propose to amend ECCN 1E001, if the changes proposed in this rule were to go into effect, ECCN 1E001 would control “technology” for the “development” or “production” of the four marine toxins that would be added to ECCN 1C351."
05/11/2022,Expansion of Sanctions Against Russian Industry Sectors Under the Export Administration Regulations (EAR),,"In response to the Russian Federation’s (Russia’s) ongoing aggression against Ukraine, the Department of Commerce is expanding the existing sanctions against Russian industry sectors by imposing a license requirement for exports, reexports, or transfers (in-country) to and within Russia for additional items subject to the Export Administration Regulations (EAR) identified under specific Schedule B numbers or Harmonized Tariff Schedule codes. The Bureau of Industry and Security (BIS) is taking these actions to further restrict Russia’s ability to withstand the economic impact of the multilateral sanctions, further limit sources of revenue that could support Russia’s military capabilities, and to better align with the European Union’s controls. "
04/14/2022,Expansion of Sanctions Against Russia and Belarus Under the Export Administration Regulations (EAR),,"In response to the Russian Federation’s (Russia) ongoing aggression in Ukraine following its further invasion of the country, as substantially enabled by Belarus, this rule expands license requirements for Russia and Belarus under the Export Administration Regulations (EAR) to all items on the Commerce Control List (CCL). It also removes license exception eligibility for aircraft registered in, owned or controlled by, or under charter or lease by Belarus or a national of Belarus."
04/12/2022,Additions to the List of Countries Excluded from Certain License Requirements under the Export Administration Regulations (EAR),,"In response to the Russian Federation’s (Russia’s) further invasion of Ukraine and to protect U.S. national security and foreign policy interests, the Department of Commerce established highly restrictive license requirements and policies for certain transactions involving Russia and Belarus under the Export Administration Regulations (EAR).? To recognize partner countries implementing substantially similar export controls on Russia and Belarus, the Department of Commerce published a list of countries excluded from certain U.S. export controls related to foreign-produced items.? In this rule, the Department of Commerce adds Iceland, Liechtenstein, Norway, and Switzerland to the list of excluded countries. "
04/11/2022,Addition of Certain Entities to the Entity List; Correction.,,"On February 14, 2022 (87 FR 8180), BIS published a final rule that amended the Export Administration Regulations (EAR) by revising the Entity List entry for “Huawei Cloud Brazil” (under Brazil) and adding a new entry for “Huawei Technologies Co., Ltd.” (under China, People’s Republic of).? These correcting amendments revise the “License requirement” column for each of these entities by updating the reference to the foreign direct product (FDP) provisions to read § 734.9(e), instead of § 736.2(b)(3), which was the FDP reference prior to the publication of BIS’s FDP rule on February 3, 2022 (87 FR 6022).? These amendments also correct a typographical error, in the “License requirement” column for “Huawei Technologies Co., Ltd.” (under China, People’s Republic of), by revising the phrase “except for” to read “EXCEPT2 for”, consistent with the application of Entity List footnote 2 to this entity. "
