,date,link,title,text
998,2010-08-10,https://www.customs.gov.vn//index.jsp?pageId=2&aid=116250&cid=30,Thông tư của Bộ Tài chính hướng dẫn việc miễn thuế nhập khẩu thiết bị phục vụ bảo vệ môi trường,"Thông tư của Bộ Tài chính hướng dẫn việc miễn thuế nhập khẩu thiết bị phục vụ bảo vệ môi trường
PV10/08/2010 12:00 AM
Ngày 14/7/2010, Bộ Tài chính đã ban hành Thông tư số 101/2010/TT-BTC về việc hướng dẫn việc miễn thuế nhập khẩu theo quy định tại Nghị định số 04/2009/NĐ-CP ngày 14/01/2009 của Chính phủ  về ưu đãi, hỗ trợ hoạt động bảo vệ môi trường.
Đối tượng áp dụng là cơ quan quản lý nhà nước về tài nguyên và môi trường; cơ quan quản lý nhà nước các lĩnh vực liên quan đến ưu đãi, hỗ trợ hoạt động bảo vệ môi trường.   Tổ chức, cá nhân có hoạt động bảo vệ môi trường bao gồm thu gom, lưu giữ, vận chuyển, tái chế, xử lý chất thải; quan trắc và phân tích môi trường; sản xuất năng lượng sạch, năng lượng tái tạo và thực hiện dưới hình thức dự án đầu tư hoạt động bảo vệ môi trường.
Danh mục hàng hoá được miễn thuế nhập khẩu được ban hành kèm theo Thông tư.
Máy móc, thiết bị, phương tiện, dụng cụ, vật liệu thuộc Danh mục hàng hoá ban hành kèm theo Thông tư này được nhập khẩu để sử dụng trực tiếp trong việc thu gom, lưu giữ, vận chuyển, tái chế, xử lý chất thải; quan trắc và phân tích môi trường; sản xuất năng lượng sạch, năng lượng tái tạo.
Căn cứ Danh mục hàng hoá ban hành kèm theo Thông tư, đối tượng được miễn thuế nhập khẩu thực hiện hồ sơ hải quan, thủ tục miễn thuế theo hướng dẫn tại Thông tư số 79/2009/TT-BTC ngày 20/4/2009 của Bộ Tài chính hướng dẫn về thủ tục hải quan; kiểm tra, giám sát hải quan; thuế xuất khẩu, thuế nhập khẩu và quản lý thuế đối với hàng hoá xuất khẩu, nhập khẩu.
Đối tượng được miễn thuế phải thực hiện việc báo cáo, kiểm tra, quyết toán việc nhập khẩu, sử dụng hàng hoá miễn thuế thuộc Danh mục ban hành kèm theo Thông tư này với cơ quan hải quan thực hiện thủ tục miễn thuế theo hướng dẫn tại Điều 103 Thông tư số 79/2009/TT-BTC ngày 20/4/2009 của Bộ Tài chính.
Việc miễn thuế nhập khẩu được áp dụng cho cả trường hợp mở rộng quy mô dự án, thay thế, đổi mới công nghệ. Trường hợp hàng hoá nêu tại Thông tư này do tổ chức, cá nhân nhập khẩu uỷ thác hoặc trúng thầu nhập khẩu hàng hoá để cung cấp cho các đối tượng quy định nêu trên cũng được miễn thuế nhập khẩu.Trường hợp đã được miễn thuế nhưng sau đó hàng hoá sử dụng vào mục đích khác với mục đích đã được miễn thuế thì người nộp thuế có trách nhiệm kê khai và nộp đủ tiền thuế, tiền phạt (nếu có) theo đúng quy định của pháp luật về thuế xuất khẩu, thuế nhập khẩu.
Thông tư có hiệu lực thi hành sau 45 ngày, kể từ ngày ký."
997,2010-08-10,https://www.customs.gov.vn//index.jsp?pageId=2&aid=116249&cid=30,Quy trình nghiệp vụ quản lý hải quan đối với hàng hoá gia công với thương nhân nước ngoài,"Quy trình nghiệp vụ quản lý hải quan đối với hàng hoá gia công với thương nhân nước ngoài
PV10/08/2010 12:00 AM
Ngày 28/7/2010, Tổng cục Hải quan đã ban hành Quyết định số 1820/QĐ-TCHQ  về việc ban hành Quy trình nghiệp vụ hải quan đối với hàng hoá gia công với thương nhân nước ngoài. Trong đó, quy định thủ tục đối với hàng hoá nhận gia công tại Việt Nam với thương nhân nước ngoài và đối với hàng hoá đặt gia công ở nước ngoài. Cụ thể:
* Đối với hàng hoá nhận gia công tại Việt Nam với thương nhân nước ngoài
Bao gồm 5 thủ tục sau: Một là, tiếp nhận hợp đồng gia công; Hai là, thủ tục nhập khẩu nguyên liệu, vật tư để gia công; Ba là, thủ tục thông báo, điều chỉnh và kiểm tra định mức; Bốn là, thủ tục xuất khẩu sản phẩm gia công và năm là, thủ tục thanh khoản hợp đồng gia công.
Thủ tục tiếp nhận hợp đồng gia công
Trong khâu tiếp nhận hồ sơ, doanh nghiệp nộp và xuất trình hồ sơ hải quan theo quy định, công chức hải quan tiến hành kiểm tra điều kiện được nhận gia công; kiểm tra sự đồng bộ, đầy đủ, hợp lệ của hồ sơ hải quan do doanh nghiệp nộp, xuất trình và xử lý; kiểm tra cơ sở sản xuất và xác nhận hợp đồng gia công.
Thủ tục nhập khẩu nguyên liệu, vật tư để gia công
Thủ tục hải quan đối với nguyên liệu, vật tư nhập khẩu để gia công với thương nhân nước ngoài
thực hiện theo quy định tại Thông tư số 116/2008/TT-BTC, Thông tư số 74/2010/TT-BTC và quy trình thủ tục hải quan đối với hàng hoá nhập khẩu thương mại (trừ việc kiểm tra tính thuế). Đối với việc nhập khẩu nguyên liệu, vật tư nếu áp dụng hình thức chuyển cửa khẩu thì thực hiện theo hướng dẫn tại quy trình nghiệp vụ hải quan đối với hàng hoá nhập khẩu chuyển cửa khẩu. Ngoài ra công chức hải quan còn thực hiện việc thống kê tờ khai hàng nhập khẩu, lấy mẫu nguyên liệu.
Thủ tục thông báo, điều chỉnh và kiểm tra định mức
Địa điểm thông báo và điều chỉnh định mức đã thông báo tại Chi cục Hải quan quản lý hợp đồng gia công.
Thời điểm thông báo và điều chỉnh định mức theo quy định tại Điều 5 Thông tư số 74/2010/TT-BTC. Cụ thể thời điểm nộp định mức là trước hoặc cùng thời điểm làm thủ tục xuất khẩu lô sản phẩm đầu tiên của mã hàng t"
996,2010-08-12,https://www.customs.gov.vn//index.jsp?pageId=2&aid=116245&cid=30,Thông tư của Bộ Tài chính về bổ sung chính sách đối với khu kinh tế cửa khẩu,"Thông tư của Bộ Tài chính về bổ sung chính sách đối với khu kinh tế cửa khẩu
PV12/08/2010 12:00 AM
Thứ trưởng Bộ Tài chính Nguyễn Hoàng Anh Tuấn vừa ký ban hành Thông tư số 116/2010/TT-BTC ngày 04/8/2010 về việc sửa đổi, bổ sung Thông tư số 137/2009/TT-BTC ngày 03/7/2009 hướng dẫn thực hiện một số điều của Quyết định số 33/2009/QĐ-TTg ngày 02/3/2009 của Thủ tướng Chính phủ ban hành cơ chế, chính sách tài chính đối với khu kinh tế cửa khẩu.
Cụ thể, thay nội dung của Điều 1 quy định về Danh mục hàng hóa kiểm tra trước khi hoàn thuế giá trị gia tăng bằng quy định về quản lý hải quan, quản lý thuế. Theo Điều 1 mới này, hàng hóa từ nội địa Việt Nam hoặc từ các khu chức năng khác trong khu kinh tế cửa khẩu đưa vào khu phi thuế quan thuộc khu kinh tế cửa khẩu không được mở tờ khai hải quan hàng hóa xuất khẩu,  bao gồm: bia các loại; nước giải khát, rượu và thức uống có cồn rượu; thuốc lá điếu các loại, xì gà; điện thoại di động, thẻ cào điện thoại di động; ô tô các loại; xe gắn máy các loại; xăng dầu. Cơ sở kinh doanh kê khai, nộp các loại thuế đối với những mặt hàng này như bán hàng trong nội địa Việt Nam.
Hàng hóa từ nội địa Việt Nam hoặc các khu chức năng khác trong khu kinh tế cửa khẩu đưa vào khu phi thuế quan thuộc khu kinh tế cửa khẩu thực hiện mở tờ khai hải quan hàng hóa xuất khẩu, được áp dụng thuế suất thuế giá trị gia tăng 0% nếu đáp ứng các điều kiện theo quy định của pháp luật về thuế giá trị gia tăng nhưng phải kiểm tra trước khi hoàn thuế GTGT, bao gồm: mỳ, miến, cháo, phở ăn liền; bánh kẹo các loại; xà phòng, bột giặt, dầu gội đầu, dầu tắm, kem đánh răng; sữa các loại, bột dinh dưỡng, dầu ăn và các loại gaz sử dụng cho các loại thiết bị lạnh.
Hàng hóa ngoài các mặt hàng nêu trên từ nội địa Việt Nam hoặc các khu chức năng khác trong khu kinh tế cửa khẩu đưa vào khu phi thuế quan thuộc khu kinh tế cửa khẩu được mở tờ khai hải quan hàng hóa xuất khẩu và áp dụng thủ tục kiểm tra, hoàn các loại thuế theo quy định của pháp luật hải quan và pháp luật về thuế hiện hành.
Thông tư này có hiệu lực thi hành kể từ ngày ký. Bãi bỏ Phụ lục I Danh mục hàng hóa kiểm tra trước khi hoàn thuế GTGT áp dụng đối với hàng hóa, dịch vụ từ các khu chức năng khác trong khu kinh tế cửa khẩu và hàng hóa, dịch vụ từ nội địa Việt Nam đưa vào khu phi thuế quan thuộc khu kinh tế cửa khẩu được áp dụng mức thuế suất thuế giá trị gia tăng là 0% ban hành kèm theo Thông tư số 137/2009/TT-BTC."
995,2010-08-18,https://www.customs.gov.vn//index.jsp?pageId=2&aid=116239&cid=30,Thuế nhập khẩu ưu đãi đối với vật tư sản xuất thiết bị nâng hạ,"Thuế nhập khẩu ưu đãi đối với vật tư sản xuất thiết bị nâng hạ
PV18/08/2010 12:00 AM
Thứ trưởng Bộ Tài chính Đỗ Hoàng Anh Tuấn vừa ký ban hành Thông tư số 104/2010/TT-BTC ngày 22/7/2010 quy định mức thuế suất thuế nhập khẩu ưu đãi đối với vật tư, linh kiện nhập khẩu để sản xuất thiết bị nâng hạ thuộc Danh mục các sản phẩm cơ khí trọng điểm ban hành kèm theo Quyết định số 10/2009/QĐ-TTg của Thủ tướng Chính phủ.
Theo quy định tại Thông tư, các vật tư, linh kiện nhập khẩu để sản xuất thiết bị nâng hạ được áp dụng mức thuế nhập khẩu ưu đãi 0%.
Có 2 điều kiện để được áp dụng mức thuế suất này.
Một là, các thiết bị nâng hạ như cổng trục 50 tấn trở lên, cẩu chân đế từ 30 tấn trở lên, cần trục từ 10 tấn trở lên, cẩu bánh xích từ 50 tấn trở lên, cẩu bánh lốp chân cứng từ 50 tấn trở lên, cẩu trên tàu biển từ 20 tấn trở lên, cẩu tháp từ 5 tấn trở lên được áp dụng mức thuế nhập khẩu ưu đãi bằng 0%.
Hai là, doanh nghiệp nhập khẩu (hoặc uỷ thác nhập khẩu) linh kiện, vật tư sản xuất thiết bị nâng hạ phải có xác nhận của Ban Chỉ đạo Chương trình sản phẩm cơ khí trọng điểm là loại hình doanh nghiệp sản xuất các mặt hàng cơ khí trọng điểm
Doanh nghiệp nhập khẩu hoặc uỷ thác nhập khẩu cam kết sử dụng đúng mục đích linh kiện, phụ tùng sản xuất thiết bị nâng hạ để sản xuất thiết bị nâng hạ. Các trường hợp không đáp ứng các điều kiện nêu trên hoặc sử dụng không đúng mục đích để sản xuất thiết bị nâng hạ thì các linh kiện, vật tư nhập khẩu này được áp dụng theo mức thuế nhập khẩu ưu đãi quy định tại thời điểm đăng ký Tờ khai hải quan hàng nhập khẩu với cơ quan Hải quan.
Thông tư có hiệu lực thi hành từ ngày 2/3/2009 và áp dụng đến hết ngày 31/12/2015."
994,2010-09-13,https://www.customs.gov.vn//index.jsp?pageId=2&aid=116201&cid=30,Quy trình phúc tập hồ sơ hải quan thực hiện thủ tục hải quan điện tử,"Quy trình phúc tập hồ sơ hải quan thực hiện thủ tục hải quan điện tử
PV13/09/2010 12:00 AM
Ngày 11/9/2010, Phó Tổng cục trưởng Tổng cục Hải quan Vũ Ngọc Anh đã ký Quyết định số 2294/QĐ-TCHQ  về việc ban hành Quy trình phúc tập hồ sơ hải quan đối với thủ tục hải quan điện tử. Quy trình này áp dụng cho tất cả hồ sơ hải quan thực hiện thủ tục hải quan điện tử (bao gồm hồ sơ hải quan ở dạng điện tử và dạng giấy) đối với hàng hoá xuất khẩu, nhập khẩu đã được thông quan theo quy định của pháp luật và Thông tư 222/2009/TT-BTC ngày 25/11/2009 của Bộ Tài chính về việc ban hành Quy định về thí điểm thủ tục hải quan điện tử.
Mục đích phúc tập là kiểm tra lại các công việc đã làm trong quy trình thông quan để phát hiện thiếu sót, sai sót và kịp thời yêu cầu khắc phục; Phát hiện những sai sót, bất hợp lý, vi phạm dễ thấy; Phát hiện sự thất lạc hoặc chậm trễ chứng từ thuộc hồ sơ xuất khẩu, nhập khẩu; Bổ sung thông tin vào cơ sở dữ liệu; Sắp xếp, lưu trữ hồ sơ hải quan một cách khoa học, dễ tra cứu; Cung cấp thông tin, dấu hiệu vi phạm cho khâu kiểm tra sau thông quan.
Khi thực hiện phúc tập hồ sơ hải quan, công chức thực hiện phúc tập kiểm tra tính đâyf đủ, đồng bộ các thông tin khai báo trên các chứng từ; Kiểm tra lại toàn bộ các công việc đã làm được thể hiện trên hệ thống hoặc trên hồ sơ hải quan của công chức hải quan và người khai hải quan đã thực hiện đầy đủ và đúng quy định; Căn cứ vào các thông tin có được tại thời điểm phúc tập đẻ tập trung kiểm tra sâu đối với những hồ sơ có độ rủi ro cao.
Việc phúc tập hồ sơ hải quan được thực hiện sau khi lô hàng đã thông quan và hoàn thành phúc tập trong vòng 60 ngày kể từ ngày quyết định thông quan lô hàng trên hệ thống xử lý dữ liệu điện tử hải quan. Đối với lô hàng thuộc các trường hợp gia công, sản xuất xuất khẩu, tạm nhập tái xuất thì thực hiện phúc tập hồ sơ cho từng lô hàng như quy định trên, sau khi thanh khoản thì thực hiện phúc tập tiếp phần hồ sơ thanh khoản trong vòng 7 ngày kể từ ngày cơ quan hải quan xác nhận kết quả thanh khoản. Đối với lô hàng thuộc các trường hợp miễn thuế, xét miễn thuế, giảm thuế, hoàn thuế, khoong thu thuế thì thực hiện phúc tập như quy định hiện hành.
Đối tượng áp dụng quy trình này là công chức hải quan trong khâu thông quan; công chức hải quan thực hiện phúc tập hồ sơ hải quan điện tử; công chức hải quan tại Chi cục kiểm tra sau thông quan; Lãnh đạo Chi cục.
Quyết định cũng quy định cụ thể việc phúc tập hồ sơ hải quan điện tử phải thực hiện theo 4 bước. Công chức thực hiện phúc tập đăng nhập hệ thống, kểim tra danh sách tờ khai hải quan chờ phúc tập trên hệ thống để thực hiện. Đối với các lô hàng được thông quan sau khi kiểm tra các chứng từ giấy; kiểm tra chứng từ giấy và kiểm tra thực tế hàng hoá thì công chức thực hiện phúc tập tiếp nhận hồ sơ giấy tờ công chức được giao nhiệm vụ quản lý, hoàn tất hồ sơ để thực hiện. Tiếp theo là  Phúc tập hồ sơ. Sau đó xử lý kết quả phúc tập hồ sơ hải quan và cuối cùng là thực hiện chế độ báo cáo và lưu trữ hồ sơ. Quyết định cũng quy định trách nhiệm của Chi cục hải quan nơi thực hiện thủ tục hải quan điện tử và của Chi cục Kiểm tra sau thông quan trong việc thực hiện quy trình này.
Quy"
993,2010-09-14,https://www.customs.gov.vn//index.jsp?pageId=2&aid=116200&cid=30,Thức ăn chăn nuôi được chậm nộp thuế VAT 3 tháng,"Thức ăn chăn nuôi được chậm nộp thuế VAT 3 tháng
PV14/09/2010 12:00 AM
Bộ Tài chính vừa ban hành Thông tư số 128/2010/TT-BTC tạm thời điều chỉnh thời hạn nộp thuế giá trị gia tăng (VAT) đối với nguyên liệu sản xuất thức ăn chăn nuôi, thức ăn chăn nuôi, phân bón và thuốc trừ sâu.
Bộ Tài chính cũng vừa ban hànhThông tư số 133/2010/TT-BTC quy định tăng thuế nhập khẩu đối với một số mặt hàng thực phẩm.
Thông tư 128/2010/TT-BTC quy định, tạm thời điều chỉnh thời hạn nộp thuế VAT đối với các mặt hàng là nguyên liệu sản xuất thức ăn chăn nuôi, thức ăn chăn nuôi, phân bón và thuốc trừ sâu ở khâu nhập khẩu lên 90 ngày kể từ ngày đăng ký tờ khai hải quan.
Để được áp dụng thời hạn nộp thuế, người nộp thuế phải đáp ứng điều kiện quy định tại Luật Quản lý thuế hoặc có bảo lãnh về số tiền thuế phải nộp của tổ chức tín dụng hoặc tổ chức khác hoạt động theo quy định của Luật Các tổ chức tín dụng.
Thông tư này có hiệu lực từ ngày 10-10.
Theo Thông tư số 133/2010/TT-BTC thì mức thuế nhập khẩu một số mặt hàng thực phẩm được điều chỉnh tăng. Cụ thể, mức thuế 40% sẽ được áp dụng cho các sản phẩm như: quả bưởi, kể cả bưởi chùm; thịt, các phụ phẩm dạng thịt ăn được sau giết mổ tươi, ướp lạnh hoặc đông lạnh từ gà cari, đóng hộp. Sản phẩm nhào với thịt hoặc phụ phẩm dạng thịt được áp mức thuế là 38%. Trong khi đó các sản phẩm từ trâu bò, cari cừu, đóng hộp... có mức thuế 37%. Mức thuế 24% được áp dụng cho các chế phẩm thực phẩm làm từ bột thô, tinh hoặc chiết xuất từ malt có chứa từ 40% đến dưới 50% tính theo trọng lượng là ca cao, socola ở dạng khối, miếng hoặc thanh…
Trước đó, tại quy định trong Thông tư 216/2009/TT-BTC ngày 12/11/2009 của Bộ Tài chính, thịt trâu, bò tươi hoặc ướp lạnh có mức thuế cao nhất được áp cho thịt cả con và nửa con không đầu là 31%; thịt lợn tươi, ướp lạnh hoặc đông lạnh mức thuế nhập khẩu cao nhất là 27%; thịt cừu, thịt dê mức thuế trước đó là 7%. Cũng theo Thông tư 216, thuế nhập khẩu thịt khác và phụ phẩm dạng thịt ăn được sau giết mổ của động vật khác, tươi, ướp lạnh hoặc đông lạnh của bộ động vật linh trưởng, của các loài bò sát (kể cả rắn và rùa) là 10%; theo quy định mới là 14%.
Thông tư 133 có hiệu lực từ ngày 24/10."
992,2010-09-15,https://www.customs.gov.vn//index.jsp?pageId=2&aid=116197&cid=30,"Tạm ngừng kinh doanh tạm nhập tái xuất phủ tạng gia súc, gia cầm từ 01 tháng 10","Tạm ngừng kinh doanh tạm nhập tái xuất phủ tạng gia súc, gia cầm từ 01 tháng 10
PV15/09/2010 12:00 AM
Bộ Công thương vừa ban hành Thông tư số 33/2010/TT-BCT, quy định tạm ngừng kinh doanh tạm nhập tái xuất, chuyển khẩu qua cửa khẩu Việt Nam đối với phủ tạng gia súc, phủ tạng gia cầm đông lạnh và không đông lạnh kể từ ngày 01 tháng 10 năm 2010.
Thông tư cũng quy định, đối với những lô hàng phủ tạng gia súc, phủ tạng gia cầm đông lạnh và không đông lạnh tạm nhập để tái xuất hoặc chuyển khẩu qua cửa khẩu Việt Nam có vận đơn xếp hàng lên phương tiện vận tải trước ngày 15 tháng 9 năm 2010 và về đến cảng, cửa khẩu Việt Nam trước ngày 01 tháng 10 năm 2010, thương nhân được thực hiện thủ tục tạm nhập để tái xuất, chuyển khẩu qua cửa khẩu Việt Nam tại cơ quan hải quan, không phải xin phép Bộ Công Thương.
Việc tái xuất, chuyển khẩu qua cửa khẩu Việt Nam đối với những lô hàng phủ tạng gia súc, phủ tạng gia cầm đông lạnh và không đông lạnh đã làm thủ tục tạm nhập, chuyển khẩu trước ngày 01 tháng 10 năm 2010 được thực hiện theo quy định tại Nghị định số 12/2006/NĐ-CP ngày 23 tháng 01 năm 2006 của Chính phủ quy định chi tiết thi hành Luật Thương mại về hoạt động mua bán hàng hóa quốc tế và các hoạt động đại lý mua, bán, gia công và quá cảnh hàng hóa với nước ngoài và các quy định hiện hành."
991,2010-09-20,https://www.customs.gov.vn//index.jsp?pageId=2&aid=116194&cid=30,"Quy định việc kinh doanh tạm nhập tái xuất, chuyển qua cửa khẩu Việt Nam đối với phủ tạng gia súc, phủ tạng gia cầm đông lạnh và không đông lạnh","Quy định việc kinh doanh tạm nhập tái xuất, chuyển qua cửa khẩu Việt Nam đối với phủ tạng gia súc, phủ tạng gia cầm đông lạnh và không đông lạnh
PV20/09/2010 12:00 AM
Thứ trưởng Bộ Công Thương Nguyễn Thành Biên vừa ký ban hành Thông tư số 33/2010/TT-BCT ngày 11/9/2010 quy định việc kinh doanh tạm nhập tái xuất, chuyển khẩu qua cửa khẩu Việt Nam đối với phủ tạng gia súc, phủ tạng gia cầm đông lạnh và không đông lạnh.
Theo đó, tạm ngừng kinh doanh tạm nhập tái xuất, chuyển khẩu qua cửa khẩu Việt Nam đối với phủ tạng gia súc, phủ tạng gia cầm đông lạnh và không đông lạnh kể từ ngày 01 tháng 10 năm 2010.
Đối với những lô hàng phủ tạng gia súc, phủ tạng gia cầm đông lạnh và không đông lạnh tạm nhập để tái xuất hoặc chuyển khẩu qua cửa khẩu Việt Nam có vận đơn xếp hàng lên phương tiện vận tải trước ngày 15 tháng 9 năm 2010 và về đến cảng, cửa khẩu Việt Nam trước ngày 01 tháng 10 năm 2010, thương nhân được thực hiện thủ tục tạm nhập để tái xuất, chuyển khẩu qua cửa khẩu Việt Nam tại cơ quan hải quan, không phải xin phép Bộ Công Thương.
Việc tái xuất, chuyển khẩu qua cửa khẩu Việt Nam đối với những lô hàng phủ tạng gia súc, phủ tạng gia cầm đông lạnh và không đông lạnh đã làm thủ tục tạm nhập, chuyển khẩu trước ngày 01 tháng 10 năm 2010 được thực hiện theo quy định tại Nghị định số 12/2006/NĐ-CP ngày 23 tháng 01 năm 2006 của Chính phủ quy định chi tiết thi hành Luật Thương mại về hoạt động mua bán hàng hóa quốc tế và các hoạt động đại lý mua, bán, gia công và quá cảnh hàng hóa với nước ngoài và các quy định hiện hành.
Thông tư này có hiệu lực thi hành kể từ ngày ký./."
990,2010-09-27,https://www.customs.gov.vn//index.jsp?pageId=2&aid=116182&cid=30,Thực hiện công tác giám sát trong quy trình thủ tục hải quan điện tử,"Thực hiện công tác giám sát trong quy trình thủ tục hải quan điện tử
PV27/09/2010 12:00 AM
Vừa qua, Tổng cục Hải quan đã có văn bản số: 5513/TCHQ-CNTT ngày 21/9/2010 gửi Cục Hải quan các tỉnh, thành phố về việc thực hiện công tác giám sát trong quy trình thủ tục hải quan điện tử.
Thực hiện chủ trương hiện đại hoá quy trình thủ tục hải quan, tạo thuận lợi tối đa cho doanh nghiệp XNK, nâng cao năng lực quản lý của cán bộ, công chức hải quan; trong thời gian vừa qua cùng với việc triển khai mở rộng thủ tục hải quan điện tử, Tổng cục Hải quan đã xây dựng Hệ thống hỗ trợ công tác giám sát trong quy trình thủ tục hải quan điện tử (Hệ thống giám sát), cài đặt và tập huấn cho cán bộ, công chức tại Tổng cục Hải quan và các Cục Hải quan tỉnh, thành phố. Cho đến nay, về hệ thống đã đáp ứng được yêu cầu nghiệp vụ, hỗ trợ tốt công tác trao đổi thông tin giữa Chi cục Hải quan (nơi mở tờ khai) và Chi cục hải quan cửa khẩu (nơi thực hiện công tác giám sát hàng hoá xuất khẩu hoặc nhập khẩu).
Tuy nhiên, trong quá trình triển khai giai đoạn đầu, Tổng cục Hải quan nhận được một số ý kiến của các đơn vị phản ánh vướng mắc liên quan đến công tác giám sát hàng hoá thực hiện thủ tục Hải quan điện tử. Để xử lý vướng mắc phát sinh, Tổng cục Hải quan yêu cầu các đơn vị:
* Đối với Cục Hải quan các tỉnh, thành phố:
- Triển khai nối mạng giữa bộ phận giám sát và Chi cục hải quan quản lý;
- Cập nhật kịp thời danh sách các Chi cục đã nối mạng ra bộ phận giám sát, danh sách các Chi cục đã nối mạng nhưng đang bị lỗi kết nối lên Hệ thống giám sát để đưa lên Website Hải quan;
- Thông báo và hướng dẫn doanh nghiệp tra cứu thông tin tờ khai chuyển cửa khẩu, danh sách các cửa khẩu có kết nối mạng trên Website Hải quan
(http://www.customs.gov.vn/List/HoTroTrucTuyen/Default.aspx);
- Kiểm tra hoạt động của hệ thống giám sát (bao gồm việc kết nội mạng; các chức năng như truyền thông tin tờ khai từ Chi cục lên Tổng cục, tra cứu thông tin tờ khai tại Tổng cục, cập nhật thông tin giám sát, cập nhật kết quả kiểm hoá);
- Thường xuyên rà soát, kiểm tra danh sách tài khoản người sử dụng được quyền tra cứu, cập nhật thông tin vào hệ thống tại Tổng cục;
- Thực hiện đầy đủ, chính xác, kịp thời các nội dung quy định trong quy trình thủ tục hải quan điện tử, đặc biệt những nội dung liên quan đến công tác giám sát;
Chi cục hải quan cửa khẩu đã nối mạng ra khu vực giám sát thực hiện thủ tục giám sát chuyển cửa khẩu trong trường hợp mạng, hệ thống giám sát hoạt động ổn định (Theo quy định tại khoản 1, điểm VII, mục 1, Phần I Quyết định 2396/QĐ-TCHQ ngày 09/12/2009: Đối chiếu thô"
989,2010-09-27,https://www.customs.gov.vn//index.jsp?pageId=2&aid=116183&cid=30,Triển khai thực hiện mẫu Tờ khai nhập cảnh-xuất cảnh mới,"Triển khai thực hiện mẫu Tờ khai nhập cảnh-xuất cảnh mới
PV27/09/2010 12:00 AM
Ngày 11/9/2010, Bộ Tài chính đã có công văn số 12119/BTC-TCHQ gửi Bộ Quốc phòng và Bộ Công an về việc triển khai thực hiện mẫu Tờ khai nhập cảnh-xuất cảnh mới. Trên cơ sở nội dung đề nghị của Bộ Công an tại Công văn số 2100/BCA-A61 ngày 10/8/2010, Bộ Tài chính đề nghị Bộ Quốc phòng (Bộ Tư lệnh Bộ đội biên phòng) khẩn trương tổ chức in phát hành, quản lý và hướng dẫn sử dụng mẫu tờ khai nhập cảnh - xuất cảnh ban hành kèm theo Quyết định số 3195/QĐ-BCA/A61 ngày 10/8/2010 của Bộ Công an.
Bộ Tài chính giao Tổng cục Hải quan (Vụ Tài vụ Quản trị) phối hợp chặt chẽ với Bộ Quốc phòng (Bộ Tư lệnh Bộ đội biên phòng) tiến hành xây dựng kế hoạch định kỳ tiếp nhận tờ khai nhập cảnh - xuất cảnh theo nhu cầu thực tế để cấp phát cho Cục Hải quan tỉnh, thành phố thực hiện 2 nội dung sau:
Thứ nhất, tại khu vực thực hiện thủ tục hải quan đối với hành lý của hành khách nhập cảnh, xuất cảnh: Hải quan cấp phát tờ khai nhâp cảnh- xuất cảnh cho hành khách nhập cảnh, xuất cảnh có mang theo ngoại tệ, vàng, đá quý, hành lý vượt tiêu chuẩn, hàng hoá tạm nhập tái xuất hoặc tạm xuất tái nhập, hành lý gửi trước hoặc gửi sau chuyến đi theo quy định của pháp luật Việt Nam thì hành khách phải khai báo hải quan trên tờ khai nhập cảnh- xuất cảnh;
Thứ hai, để tạo điều kiện thuận lợi cho hành khách nhập cảnh, xuất cảnh trước khi đến cửa khẩu Việt Nam đã thực hiện khai báo hải quan (nếu hành khách có nội dung phải khai báo hải quan theo quy định của pháp luật Việt Nam nêu trên) thì Hải quan hoặc Bộ đội biên phòng cấp phát trước tờ khai nhập cảnh- xuất cảnh cho các hãng bay quốc tế, đại diện hãng bay quốc tế, công ty du lịch quốc tế…để nhân viên của hãng bay quốc tế, công ty du lịch quốc tế… hướng dẫn và phát tờ khai cho khách nhập cảnh, xuất cảnh thực hiện khai báo hải quan (nhằm mục tiêu giảm thiểu tình trạng khách nhập cảnh, xuất cảnh thực hiện khai báo hải quan theo quy định của pháp luật Việt Nam cũng như đảm bảo yêu cầu văn minh, lịch sự, chính quy hiện đại tại khu vực cửa khẩu Việt Nam)
Trường hợp Bộ Quốc phòng (Bộ Tư lệnh Bộ đội Biên phòng) chưa kịp in phát hành tờ khai nhập cảnh - xuất cảnh mới để sử dụng từ ngày 15/9/2010 tại các cửa khẩu Việt Nam, Bộ Tài chính đề nghị trước mắt Bộ Tư lệnh Bộ đội Biên phòng và Tổng cục Hải quan tiếp tục sử dụng mẫu tờ khai nhập cảnh / xuất cảnh do Bộ Tài chính (Tổng cục Hải quan ) phát hành để thực hiện công tác quản lý xuất nhập cảnh và quản lý Hải quan của mỗi ngành./."
